"geo","time","pop","gdp_pc","gini","u5mr"
"npl",1824,,656.4629827,41,407.24
"ita",1824,,2546.818479,59.2,454.69
"prk",1824,,564.830635,46.3,500.35
"prt",1824,,1690.739219,52.2,372.81
"bih",1824,,684.3103141,31.5,378.8
"rou",1824,,863.8871835,47.8,371.61
"fji",1824,,797.9966034,47.2,498.88
"moz",1824,,395.9321117,45.5,439.79
"tza",1824,,569.8050744,37.6,414.89
"che",1824,,2825.727133,42.8,344.77
"chn",1824,,985.3868982,43.2,417.44
"mco",1824,,2096.132773,,
"aze",1824,,796.0033647,35.4,365.5911952
"cyp",1824,,897.3807954,32.7,339.12
"syr",1824,,1089.704853,58.4,429.16
"sdn",1824,,529.9484942,33.8,425.25
"egy",1824,,807.9742448,58.4,404.69
"swz",1824,,500.5642202,57.4,413.61
"gha",1824,,709.3409338,56.4,471.38
"bra",1824,,1121.591838,39.9,417.44
"cri",1824,,812.8262108,48.2,441.12
"hrv",1824,,1395.117632,,366.84
"yem",1824,,938.4991156,58.4,540.44
"col",1824,,975.6090942,58.9,417.44
"irl",1824,,1536.409851,42.6,348.22
"are",1824,,1091.166491,44.6,434.46
"bgd",1824,,874.9127762,41.8,507.88
"lbn",1824,,1129.846581,58.4,447.88
"plw",1824,,852.8590868,,
"syc",1824,,870.5045762,,361.2151903
"bel",1824,,2446.674094,61.1,320.22
"pan",1824,,888.8075679,54.7,405.96
"bwa",1824,,406.1608117,35.6,397.2
"ner",1824,,456.097276,43.3,433.13
"tur",1824,,1251.104162,55,379.99
"lca",1824,,888.5941226,,395.9785802
"ind",1824,,1050.669913,33.6,509.39
"tls",1824,,546.2834504,35.3,448.8449615
"slb",1824,,369.2484638,46.5,504.87
"mus",1824,,961.1712785,39.7,427.86
"tgo",1824,,697.8237543,38.3,426.55
"mlt",1824,,813.0491623,,332.0177522
"guy",1824,,1250.873215,38.2,429.16
"sgp",1824,,1033.545489,41.1,392.21
"omn",1824,,933.5707082,44.9,413.61
"usa",1824,,2378.403141,64.9,451.718
"swe",1824,,1546.001748,66.2,224.57
"nru",1824,,566.3175534,,
"cym",1824,,1070.566284,,
"cub",1824,,1141.431115,37.9,363.32
"sle",1824,,750.4205053,56.3,513.91
"caf",1824,,433.6403998,45.5,443.79
"lka",1824,,904.2753194,47.7,409.79
"lva",1824,,789.0615842,48.9,404.69
"grd",1824,,977.8298185,,395.9258807
"nld",1824,,3992.146659,55.3,323.5
"gab",1824,,391.6623916,45.9,435.79
"bmu",1824,,1264.580169,,
"est",1824,,985.3041067,48.9,362.15
"pak",1824,,1019.471441,28.7,501.85
"gin",1824,,455.225609,32.7,447.88
"mhl",1824,,546.99864,,
"nam",1824,,575.093212,52.6,412.34
"dma",1824,,683.1868576,,
"uzb",1824,,509.9913298,44.4,380.9325321
"lao",1824,,875.3868057,38.4,418.74
"nzl",1824,,660.839373,38.2,390.99
