"geo","time","pop","gdp_pc","gini","u5mr"
"mnp",1910,5572,,,
"reu",1910,181279,,,
"uga",1910,2825381,718.2140999,41,501.85
"rwa",1910,1688211,495.4846953,38,412.6
"brb",1910,174352,1679.614032,,435.23
"mng",1910,717536,691.0887959,48,412.6
"isr",1910,413270,1111.101708,44.9,331.4427371
"afg",1910,5351413,820.4211649,42.5,475.68
"com",1910,113579,778.2968725,43.9,408.79
"cod",1910,9315190,763.3335619,42.1,415.16
"ton",1910,22689,901.6064326,,187.8981289
"and",1910,4671,3595.879246,,
"png",1910,1326296,743.3704482,41.8,416.44
"brn",1910,21180,2057.46517,,446.64
"pol",1910,26493422,2846.429195,28,280.17
"kwt",1910,99530,2543.768899,41.7,491.49
"jpn",1910,49314848,1998.025371,52.3,316.7491134
"zwe",1910,2050255,992.0808349,38.8,388.94
"mys",1910,2875649,1340.498012,41,428.08
"mar",1910,5007589,838.8113865,36.6,396.3
"sen",1910,1881695,769.8219614,41.3,503.33
"fra",1910,41294572,4541.823229,54.8,159.6173082
"sau",1910,2635671,1006.866684,45.1,408.79
"cog",1910,601896,784.4928931,39.5,401.28
"mwi",1910,979129,355.6672536,37.4,432.01
"ago",1910,3136718,1001.094393,40.9,477.08
"mli",1910,3252008,622.9179321,47.2,485.73
"gmb",1910,201692,879.8810119,46.7,452.06
"jor",1910,330157,1643.860596,43.2,413.88
"tuv",1910,4125,977.8099905,,
"cmr",1910,2432509,969.5397042,42.4,452.06
"mac",1910,74264,1350.380284,,
"ecu",1910,1682404,943.2714571,44.9,398.78
"ssd",1910,2092703,785.4979876,33.78,465.4449527
"vut",1910,40134,796.6827393,,229.9717362
"twn",1910,,1409.486527,,
"lbr",1910,667027,1017.430049,45.9,421.56
"ncl",1910,51063,,,
"kaz",1910,4635760,2778.928436,32.9,428.08
"tkl",1910,482,,,
"srb",1910,4726618,3338.712148,36.2,222.2
"vir",1910,27325,,,
"irl",1910,3093322,4449.831338,37.2,140.1538092
"qat",1910,17143,2543.768899,43.2,425.46
"eth",1910,10317724,540.6893618,47.5,439.95
"abw",1910,30881,1531.146238,,
"lux",1910,228340,4221.080818,38.5,220.81
"blz",1910,39793,1064.091117,,212.7080183
"hrv",1910,2710758,3310.320352,,360.35
"yem",1910,3301368,1197.09185,43.7,530.87
"bhr",1910,80495,2716.500157,39.6,432.01
"btn",1910,143766,753.5439413,47.7,422.7710888
"mkd",1910,875036,1696.69251,37.6,349.9983674
"civ",1910,1991150,1261.432933,42.9,420.28
"aut",1910,6608155,6664.893839,37.1,307.34
"chanisl",1910,78818,,,
"spm",1910,3422,,,
"vgb",1910,5543,,,
"nga",1910,17872899,1328.374854,41,430.7
