"geo","time","pop","gdp_pc","gini","u5mr"
"sdn",1997,26149124,2142.46658,35.7,113.9
"fro",1997,44467,,,
"chn",1997,1247259143,2999.949412,50.5,43.6
"eth",1997,60893264,630.4973811,35,162
"gha",1997,17568583,2148.412098,40.9,109.5
"syr",1997,15151962,5384.751685,40,26.8
"nfk",1997,1823,,,
"yem_south",1997,3408569,,,
"irl",1997,3706032,32567.66356,31.7,7.3
"sxm",1997,31106,,,
"hrv",1997,4532298,14463.14234,,9.3
"yem",1997,16349809,3746.011554,35,106.4
"egy",1997,64754566,7036.060078,34.4,56.5
"che",1997,7090176,45734.40761,27.3,6
"bra",1997,167893835,11381.52737,59.8,40.6
"srb",1997,9775008,7898.549514,39.3,15.4
"stbar",1997,6402,,,
"cri",1997,3682725,8603.085847,45.6,14.8
"are",1997,2595220,109553.0239,45.1,12.2
"eri_a_eth",1997,63916669,,,
"bgd",1997,123574107,1491.735336,33.6,103.2
"chanisl",1997,145709,,,14.124
"btn",1997,520917,3183.746895,46.9,94.5
"hos",1997,783,,,
"plw",1997,18123,14961.02023,,29.4
"mrt",1997,2476188,2716.807421,38,113.9
"bel",1997,10201758,34377.14706,26.9,6.7
"civ",1997,15296390,3131.356776,38.3,147.3
"spm",1997,6290,,,
"ner",1997,10058960,802.0059606,48.7,255.9
"nga",1997,113975055,2812.892157,47.7,201.4
"lca",1997,150994,9125.428176,,19
"ind",1997,997817250,2234.501484,49.1,101.9
"tls",1997,853867,1740.597227,33.5,127.8
"slb",1997,379859,2163.12006,46.5,34.3
"syc",1997,78474,17272.1353,,14.2
"pyf",1997,223734,,,12.606
"bhr",1997,597834,43797.62219,35,15.2
"yug",1997,23123738,,,
"mlt",1997,378789,22343.64223,,8.7
"cym",1997,35596,57445.476,,
"omn",1997,2227596,42369.64227,40.9,20.8
"npl",1997,22395247,1478.261545,47.2,96.3
"cheslo",1997,15683303,,,
"gbm",1997,73817,,,
"mus",1997,1154137,9884.932322,41.9,22.6
"moz",1997,16872896,520.0968972,43.9,194.6
"jey",1997,87404,,,
"sjm",1997,2756,,,
"rou",1997,22633398,10329.46761,33.5,30.4
"swe",1997,8859106,32359.54854,23.2,4.3
"sle",1997,3843472,996.4250916,39.1,250.5
"kos",1997,2640074,6136.547615,,
"pak",1997,128845692,3269.596585,31.2,120.3
"swz",1997,1006760,5167.079752,57,92.6
"col",1997,38645409,8803.974958,52.8,27.9
"dma",1997,70756,7510.234123,,16
"mtq",1997,375657,,,13.087
"lao",1997,5068658,2084.177293,34.9,130.9
"gab",1997,1143838,20544.99217,47.6,86.2
"bmu",1997,63257,44514.10942,,
"deu_east",1997,16075886,,,
"lka",1997,18478024,4395.95364,39.6,18.7
"lva",1997,2434628,9238.334994,31.7,21.6
"gbg",1997,63240,,,
"korea_union",1997,67727474,,,
"nld",1997,15636131,37414.17962,26.6,6.5
"nam",1997,1758097,5970.696403,68.5,67.3
"akr_a_dhe",1997,14841,,,
"cyp",1997,890733,26703.75719,27.9,8
"caf",1997,3497910,852.0265262,49.5,176.9
"mco",1997,31242,45690.3886,,5.8
"aze",1997,7921789,3488.410025,35.5,88.6
"lbn",1997,3092684,12347.24336,44,23.5
"stmar",1997,26599,,,
"pan",1997,2852739,9236.834484,58.2,27.4
"phl",1997,73042605,4230.07299,46.2,42.7
"alb",1997,3092471,3909.279368,35.6,30.3
"gum",1997,150306,,,20.286
"pry",1997,4980346,6664.624618,54.9,36.8
"bwa",1997,1645846,9637.10627,58.4,65.5
