"geo","time","pop","gdp_pc","gini","u5mr"
"vnm",2015,93447601,5622.761711,35.6,21.7
"kgz",2015,5939962,3244.843045,33.4,21.3
"ven",2015,31108083,15753.3321,44.8,14.9
"aia",2015,14614,,,
"khm",2015,15577899,3266.692005,31.8,28.7
"chl",2015,17948141,22465.429,50.3,8.1
"ncl",2015,263118,,,14.176
"grl",2015,56186,27763.27789,,
"twn",2015,,42947.90073,,
"fin",2015,5503457,38923.33191,25.6,2.3
"grc",2015,10954617,25429.94927,34,4.1
"lux",2015,567110,88314.21723,30.4,1.9
"brb",2015,284215,12983.87817,,13
"kaz",2015,17625226,23467.92842,28.6,14.1
"cod",2015,77266814,808.7334141,44,98.3
"com",2015,788474,1472.240339,63.8,73.5
"afg",2015,32526562,1924.895293,27.8,91.1
"ton",2015,106170,5069.367767,,16.7
"tkl",2015,1250,,,
"reu",2015,861154,,,4.279
"qat",2015,2235355,132877.3413,43.7,7.7
"mng",2015,2959134,11819.11661,36.5,22.4
"rwa",2015,11609666,1549.226577,50.8,42
"mnp",2015,55070,,,
"sau",2015,31540372,52469.10478,42.4,14.5
"kwt",2015,3892115,82632.53044,39.3,8.6
"mkd",2015,2078453,12546.75897,37,5.5
"mwi",2015,17215232,799.076379,46.2,65.4
"mli",2015,17599694,1684.048436,33,114.7
"mar",2015,34377511,7319.286927,40.9,27.6
"gmb",2015,1990924,1644.031605,47.3,68.9
"and",2015,70473,46577.18657,,2.8
"cog",2015,4620330,6219.535102,40.2,45
"jor",2015,7594547,11752.21256,33.7,17.9
"zwe",2015,15602751,1801.463254,64,79.6
"png",2015,7619321,2528.723372,50.3,57.3
"ita",2015,59797685,33296.90318,32.7,3.4
"prk",2015,25155317,1390.174685,46.9,24.9
"prt",2015,10349803,26437.43027,34.2,3.6
"lbr",2015,4503438,958.1641284,38.2,69.9
"ecu",2015,16144363,10996.08308,46.6,21.6
"fji",2015,892145,7925.291484,42.8,22.4
"ssd",2015,12339812,3046.558582,35.29,92.6
"vut",2015,264652,2911.549154,,27.5
"tuv",2015,9916,3621.699139,,27.1
"mac",2015,587606,148374.0095,,4.81
"cmr",2015,23344179,2896.79768,51.3,88.7
"egy",2015,91508084,11031.13752,35.2,24
"fro",2015,48199,,,
"abw",2015,103889,37137.79371,,16.567
"gha",2015,27409893,4098.878494,42.8,61.6
"bra",2015,207847528,15440.74204,52.7,13.3
"hrv",2015,4240317,20260.37359,,4.3
"cri",2015,4807850,14131.89291,48.6,9.7
"irl",2015,4688465,47757.84881,30,3.6
"vir",2015,106291,,,10.332
"chn",2015,1376048943,13333.66265,37,10.7
"yem",2015,26832215,3886.510756,45.4,47.5
"eth",2015,99390750,1520.066283,33.6,59.2
"che",2015,8298663,56117.98979,28.5,3.9
"blz",2015,359287,8500.6686,,16.5
"syr",2015,18502413,4636.843339,35.8,12.9
"srb",2015,8850975,12907.65182,38,6.7
"bgd",2015,160995642,3160.74122,32.1,37.6
"vgb",2015,30117,,,
"hos",2015,800,,,
"syc",2015,96471,25684.27396,,13.6
"ner",2015,19899120,943.4912492,31.2,95.5
"mrt",2015,4067564,3877.328644,40.5,84.7
"spm",2015,6288,,,
"nga",2015,182201962,5726.808407,43,108.8
"btn",2015,774830,7983.442837,38.7,32.9
"civ",2015,22701556,3491.049748,51.3,94.4
"are",2015,9156963,60749.33768,45.1,6.8
"aut",2015,8544586,44400.52079,27.6,3.5
"pyf",2015,282764,,,6.798
"chanisl",2015,163692,,,8.866
"bhr",2015,1377237,44138.3855,35,6.2
"mlt",2015,418670,30265.15821,,5.9
"bih",2015,3810416,9833.179474,33,6
"omn",2015,4490541,48225.58114,40.9,11.6
"cym",2015,59967,49009.2023,,
"rou",2015,19511324,19203.44184,34,11.1
"kos",2015,,9021.374049,,
"sle",2015,6453184,2084.586251,35.4,120.4
"npl",2015,28513700,2352.385927,32.8,35.8
"moz",2015,27977863,1175.798861,51.6,80.6
"tza",2015,53470420,2571.166386,37.8,48.4
"asm",2015,55538,,,
"swe",2015,9779426,44891.86195,24.9,3
"nld",2015,16924929,45784.05876,25.1,3.8
"swz",2015,1286970,6095.426314,51.5,69.6
"gab",2015,1725292,18626.95197,41.8,52.2
"bmu",2015,62004,47080.55148,,
"mtq",2015,396425,,,6.58
"pak",2015,188924874,4743.271518,29.6,81.1
"col",2015,48228704,12760.93503,53.5,15.9
"mco",2015,37731,63471.78234,,3.5
"nam",2015,2458830,10040.08553,63.9,46.7
"dma",2015,72680,10502.9478,,21.2
"cyp",2015,1165300,29797.16241,32.4,3.4
"sdn",2015,40234882,3974.866213,35.3,70.1
"lao",2015,6802023,5212.285105,36.2,66.7
"sxm",2015,38745,,,
"aze",2015,9753968,16986.36092,33,31.7
"lka",2015,20715010,10623.78332,36.4,8.7
"lva",2015,1970503,23281.77943,35.5,7.9
"aus",2015,23968973,44056.20217,32.6,3.5
"lbn",2015,5850743,17050.1249,38.6,8.3
"plw",2015,21291,14315.14948,,16.4
"phl",2015,100699395,6875.50779,43,28
"alb",2015,2896679,10619.84933,29,14
"bwa",2015,2262485,17195.84896,58.7,53.3
"tur",2015,78665830,19359.65287,40.2,13.5
"slb",2015,583591,2046.56745,46.5,28.1
"lca",2015,184999,9997.31787,,14.3
"ltu",2015,2878405,26664.74475,35,4
"ind",2015,1311050527,5902.996352,33.6,47.7
"gum",2015,169885,,,10.357
"pan",2015,3929141,20484.51891,51.9,17
"tls",2015,1184765,2085.600973,30.4,52.6
"bel",2015,11299192,41240.23364,25.9,4.1
"pry",2015,6639123,8219.173374,48,20.5
"gbm",2015,87780,,,
"msr",2015,5125,,,
"irq",2015,36423395,14645.87954,29.5,32
"nru",2015,10222,16686.258,,35.4
"usa",2015,321773631,53353.69889,40.1,6.5
"gib",2015,32217,,,
"esh",2015,572540,,,41.453
"cub",2015,11389562,21291.35403,37,5.6
"tgo",2015,7304578,1432.885358,46,78.4
"mus",2015,1273212,18350.1376,35.9,13.5
"sgp",2015,5603740,80793.85073,45.8,2.7
"guy",2015,767085,6815.85437,43.2,39.4
"mex",2015,127017224,16849.84271,45.7,13.2
"mhl",2015,52993,3660.925063,,36
"som",2015,10787104,623.5534722,48,136.8
"est",2015,1312558,26812.2719,32.9,3
"uzb",2015,29893488,5598.091958,39.7,39.1
"gin",2015,12608590,1225.355164,33.7,93.7
"nor",2015,5210967,64304.46752,22.7,2.5
"caf",2015,4900274,599.499548,56.3,130.5
"grd",2015,106825,11592.71481,,11.8
"bgr",2015,7149787,16371.01876,35.4,10.7
"wlf",2015,13151,,,
"irn",2015,79109272,15573.184,43.4,15.5
"kna",2015,55572,21895.98413,,10.5
"eri",2015,5227791,1128.754297,47.5,46.5
"hnd",2015,8075060,4269.75619,57.4,20.4
"tca",2015,34339,20068.12945,,
"svn",2015,2067526,28549.66109,24.4,2.7
"cze",2015,10543186,29437.37831,24.6,3.4
"fsm",2015,104460,3509.714729,,34.7
"arm",2015,3017712,7762.7648,30.3,14.2
"dom",2015,10528391,12837.10481,45.7,30.9
"nzl",2015,4528526,34185.87506,33.3,5.7
"tkm",2015,5373502,15864.71179,46.4,51.4
"mdv",2015,363657,14407.81316,,8.6
"geo",2015,3999812,7474.225787,41.4,11.9
"tjk",2015,8481855,2582.152604,36.9,44.8
"mdg",2015,24235390,1399.970963,40.6,49.6
"per",2015,31376670,11902.94019,45.3,16.9
"kor",2015,50293439,34643.7176,30.2,3.5
"glp",2015,468450,,,5.769
"slv",2015,6126583,7776.014754,41.8,16.8
"bdi",2015,11178921,777.1827371,33.3,81.7
"cpv",2015,520502,6514.438085,43.8,24.3
"gnq",2015,845060,31086.68487,50.5,94.1
"dnk",2015,5669081,43495.48348,27.5,3.5
"smr",2015,31781,40075.35983,,2.9
"ben",2015,10879829,1829.546765,43.5,99.5
"zmb",2015,16211767,4034.215694,57.5,67.8
"myt",2015,240015,,,4.272
"stp",2015,190344,3002.697187,,47.3
"jam",2015,2793335,8605.575936,45.5,15.7
"ken",2015,46050302,2897.684723,47.7,50.6
"arg",2015,43416755,17343.90059,43.6,12.5
"lby",2015,6278438,17261.18003,38.8,13.4
"tcd",2015,14037472,2190.660709,43.3,138.7
"deu",2015,80688545,44052.75359,29.7,3.7
"vct",2015,109462,10434.50007,,18.3
"tto",2015,1360088,30113.24476,39,20.4
"zaf",2015,54490406,12509.3531,65,42.1
"bfa",2015,18105570,1654.2385,50.1,88.6
"mne",2015,625781,14833.48247,30.6,4.7
"svk",2015,5426258,27204.45986,26.1,6.7
"dza",2015,39666519,13433.98792,42.5,24
"shn",2015,3961,,,
"mmr",2015,53897154,4012.438953,44.3,50
"tun",2015,11253554,11125.70809,35.8,14
"gtm",2015,16342897,7278.925939,52.4,29.1
"ury",2015,3431555,20437.63244,41.3,10.1
"cok",2015,20833,,,8.1
"mda",2015,4068897,4896.215978,30.6,15.8
"kir",2015,112423,1823.728139,,55.9
"flk",2015,2903,,,
"ukr",2015,44823765,8449.425104,24.8,9
"gnb",2015,1844325,1386.223134,38.7,92.5
"idn",2015,257563815,10504.29036,38.1,27.2
"bol",2015,10724705,6294.941812,46.6,38.4
"can",2015,35939927,43293.87149,31.5,4.9
"uga",2015,39032383,1679.512374,44.6,59.5
"blr",2015,9495826,17414.82059,26.5,4.4
"gbr",2015,64715810,38225.13903,30.2,4.2
"hkg",2015,7287983,53874.06138,,2.423
"rus",2015,143456918,23037.7077,39.6,9.6
"lso",2015,2135022,2598.037364,54.2,97.1
"isr",2015,8064036,31589.77567,36,4
"sur",2015,542975,17125.04914,34.8,21.3
"wsm",2015,193228,5557.774473,,17.5
"jpn",2015,126573481,36161.96178,33.6,2.7
"nic",2015,6082032,4712.178158,45.7,22.1
"lie",2015,37531,,,
"atg",2015,91818,21048.75722,,8.1
