"geo","time","pop","gdp_pc","gini","u5mr"
"mda",1903,,1249.871097,32.5,316.688968
"ukr",1903,,1708.585895,41.9,359.09
"mne",1903,,2324.657711,41.9,373.24
"bgr",1903,,2154.526726,32.5,290.93
"mmr",1903,,1087.535447,33.1,430.87
"idn",1903,,1184.050908,41.1,441.48
"gnb",1903,,833.5916158,49.8,415.26
"bol",1903,,1878.480152,36.9,402.58
"mex",1903,,2352.146758,49.9,459.2
"dza",1903,,1807.641004,35.3,457.81
"svk",1903,,3077.878153,42.9,333.98
"nor",1903,,3694.907349,44.3,118.17
"tun",1903,,1068.713852,36.2,457.81
"wsm",1903,,1860.741129,,297.1153364
"dom",1903,,1049.064702,44.9,442.83
"rus",1903,,3202.523349,50,406.11
"isr",1903,,1068.509696,44.9,408.6563208
"kna",1903,,2042.585742,,
"tkm",1903,,2111.363894,36,451.683174
"sur",1903,,2870.215637,39.7,403.85
"lso",1903,,416.4872765,51.6,405.11
"uga",1903,,694.3593107,41,508.23
"svn",1903,,3096.689767,39.3,359.09
"hkg",1903,,1837.675174,,
"hnd",1903,,1951.546727,43.2,391.41
"blr",1903,,1272.905152,50,344.11
"gbr",1903,,8018.376076,40.3,191.24
"pse",1903,,1345.48135,44.8,431.4565053
"hun",1903,,3016.875385,36.7,331.76
"dji",1903,,1041.6149,45,442.83
"hti",1903,,1478.016609,44.1,482.2181709
"fra",1903,,4180.769349,52.4,194.43
"tha",1903,,1353.159203,39.3,436.17
"pri",1903,,2162.927622,,
"stp",1903,,1029.08021,,288.2874859
"jam",1903,,1001.050562,38.7,304.08
"isl",1903,,2522.333711,,207.99
"nic",1903,,2355.632944,45.6,506.73
"bhs",1903,,2534.735799,,192.7928116
"tto",1903,,1934.766816,43.5,333.98
"tjk",1903,,1145.530899,42.3,303.7044239
"atg",1903,,1327.422306,,205.2228679
"esp",1903,,2796.650802,33.8,263.54
"sen",1903,,744.2530668,41.7,509.73
"khm",1903,,1024.34135,46,378.01
"ury",1903,,6862.793536,52.6,403.85
"chl",1903,,3212.970436,72.1,428.73
"grl",1903,,955.2706062,,
"fin",1903,,2819.574493,37.5,212.26
"grc",1903,,3146.025404,36.5,314.22
"gtm",1903,,1688.324197,37.3,500.74
"ven",1903,,1377.809338,44.1,412.72
"vnm",1903,,1108.218143,40.4,415.26
"kgz",1903,,1055.078249,40.7,365.8157446
"kir",1903,,603.2950501,,310.8337433
"can",1903,,5564.971266,40.9,212.85
"afg",1903,,801.1654928,40.4,480.3
"com",1903,,772.7853821,45.2,413.99
"ton",1903,,880.4662752,,198.5078167
"mng",1903,,682.9900855,48.2,417.85
"rwa",1903,,491.1145867,41.7,417.85
"cod",1903,,741.5742885,42.1,420.44
"brb",1903,,1602.284123,,674.9188565
"ago",1903,,970.7896386,36.7,483.15
"and",1903,,3310.450091,,
"brn",1903,,2009.223347,,452.32
"mys",1903,,1296.461919,41,433.52
"cog",1903,,769.1207637,40.4,406.38
"gmb",1903,,868.6358754,46.8,457.81
"pol",1903,,2659.549796,27,306.71
"jpn",1903,,1850.426659,50.6,331.73
"png",1903,,725.9404836,39.8,421.74
"kwt",1903,,2298.613745,42.1,497.74
"jor",1903,,1555.965553,43.6,419.15
"mkd",1903,,1516.946249,35.1,372.0288382
"zwe",1903,,983.7462787,37.3,393.89
"sau",1903,,989.5740841,45.5,413.99
"mwi",1903,,355.3006763,38.8,437.5
"mli",1903,,621.4615552,47.2,491.9
"mar",1903,,828.633628,36.2,401.34
"ecu",1903,,902.0234136,45.7,403.85
"ssd",1903,,759.4084289,33.78,481.8247808
"twn",1903,,1337.742749,,
"tuv",1903,,954.8830721,,
"cmr",1903,,937.3373773,39.1,457.81
"mac",1903,,1318.717631,,
"vut",1903,,778.0027501,,239.1815743
"fji",1903,,1043.096371,45.1,496.28
"ita",1903,,3767.791253,48.1,280.02
"lbr",1903,,998.5167612,46.1,426.92
"qat",1903,,2298.613745,43.1,430.87
"irl",1903,,4142.899705,35.8,141.98
"hrv",1903,,2959.627635,,364.93
"blz",1903,,1015.100059,,223.6297685
"yem",1903,,1173.619005,42.2,537.62
"kaz",1903,,2552.505107,36.6,456.42
"eth",1903,,539.3866156,47.5,445.54
"srb",1903,,2985.011627,34.2,244.31
"lux",1903,,3885.93812,39.2,249.93
"abw",1903,,1460.651829,,
"mrt",1903,,789.6867662,48.2,412.8875532
"civ",1903,,1226.602392,43.8,425.62
"ner",1903,,667.8014969,43.3,430.87
"nga",1903,,1286.77218,39.6,436.17
"aut",1903,,5861.102934,36.9,349.57
"bhr",1903,,2704.807167,40.4,437.5
"are",1903,,2089.648859,43.7,432.19
"bgd",1903,,1095.625433,39,565.31
"btn",1903,,743.2432622,47.8,425.2446432
"syc",1903,,1190.289766,,179.492343
"bih",1903,,1111.336407,45.7,376.82
"moz",1903,,414.522869,38.5,437.5
"tza",1903,,704.2539235,38.2,412.72
"npl",1903,,839.6509694,41,405.11
"rou",1903,,2596.133328,32.5,477.45
"swe",1903,,3719.656584,57.9,138.63
"prk",1903,,529.1680021,49.3,497.74
"prt",1903,,2359.363613,43.7,314.6314663
"omn",1903,,1473.818922,43.8,412.0583277
"bmu",1903,,2152.765967,,
"chn",1903,,916.4550052,33.8,415.26
"pak",1903,,1276.651648,43.2,499.24
"col",1903,,1196.270259,52.4,415.26
"nld",1903,,6308.897298,45.4,196.83
"nam",1903,,1869.428288,41.3,410.19
"syr",1903,,1564.649216,41.7,426.92
"che",1903,,9213.947219,36.6,169.02
"bra",1903,,1317.930245,25.7,415.26
"cyp",1903,,2282.86267,42.2,281.68
"cri",1903,,1964.848399,44.7,380.44
"lao",1903,,1056.510844,38.4,416.55
"sdn",1903,,775.9318382,33.8,423.03
"aze",1903,,1574.944593,44.4,303.890286
"egy",1903,,1335.863961,38.7,402.58
"lva",1903,,1681.532177,38.5,248.01
"swz",1903,,732.9084236,47.5,411.45
"gha",1903,,755.9908281,39.6,462.0873126
"mco",1903,,5246.870165,,
"lca",1903,,1151.830709,,242.6176046
"ind",1903,,1315.720503,30.2,488.3316322
"ltu",1903,,2843.866381,38.5,290.93
"tls",1903,,638.4757102,48.8,456.8418091
"slb",1903,,487.5670057,49.9,502.24
"tur",1903,,2031.313118,41.1,378.01
"lbn",1903,,2150.997694,41.3,445.54
"plw",1903,,1114.80953,,
"pan",1903,,2164.617065,42.5,403.85
"alb",1903,,1203.417748,27.9,373.24
