"geo","time","pop","gdp_pc","gini","u5mr"
"hkg",1888,,1473.057698,,
"cze",1888,,3352.68836,43.4,379.99
"dom",1888,,967.1586686,46.1,445.15
"mdv",1888,,839.2153658,,400.4130602
"sur",1888,,2594.470626,41.3,405.96
"svn",1888,,2661.219383,41.2,360.97
"rus",1888,,2411.190863,50,406.11
"wsm",1888,,1768.494885,,317.7390635
"kna",1888,,1846.352114,,
"tkm",1888,,1589.65315,30.4,475.5425243
"hnd",1888,,1611.531482,44,393.46
"blr",1888,,967.7892355,50,365.67
"gbr",1888,,6994.523703,38.5,212.93
"geo",1888,,798.177329,29.7,330.0468299
"tca",1888,,771.4612872,,
"dnk",1888,,4330.302701,45.9,211.9
"esp",1888,,2504.574556,31.6,299.15
"tjk",1888,,873.089676,39.7,313.9532404
"stp",1888,,1000.880745,,307.5301003
"dji",1888,,993.3680878,46,445.15
"lby",1888,,2422.645003,41.8,404.69
"hti",1888,,1268.826519,44.7,485.4670779
"tto",1888,,1783.70933,43.2,335.73
"nic",1888,,2008.898487,42.9,509.39
"pri",1888,,1994.056415,,
"isl",1888,,1847.849906,,182.73
"bdi",1888,,453.493907,43.7,423.95
"tha",1888,,1265.380745,34.4,438.46
"hun",1888,,2427.63413,40.5,413.6658973
"jam",1888,,955.2253732,39.1,263.54
"pse",1888,,1293.229842,44.5,434.3638904
"atg",1888,,1199.895275,,231.801856
"ven",1888,,1420.822448,44.2,414.89
"can",1888,,3745.888686,41.5,269.96
"khm",1888,,1001.908937,46,379.99
"chl",1888,,2752.505497,68.3,417.44
"grl",1888,,814.1694568,,
"kgz",1888,,925.069363,38.5,376.3591572
"fin",1888,,2173.331088,37.3,231.76
"kir",1888,,595.3897833,,328.3717524
"grc",1888,,2559.695652,35.3,345.92
"vnm",1888,,974.0016935,40.4,417.44
"gtm",1888,,1494.457608,35.3,503.36
"ury",1888,,7117.66704,50.6,405.96
"lso",1888,,413.0062992,51.7,407.24
"isr",1888,,982.655217,44.9,447.146289
"ton",1888,,836.8171585,,223.3036423
"afg",1888,,761.408849,37.8,481.39
"brb",1888,,1448.350792,,640.2252462
"mng",1888,,665.9514757,48.1,420.04
"uga",1888,,645.8738661,41,510.9
"kwt",1888,,1849.923438,43,500.35
"jpn",1888,,1433.186575,47.2,350.52
"mli",1888,,618.3499848,47.2,494.48
"mys",1888,,1206.904881,40.9,435.79
"sen",1888,,692.2836609,42.4,512.4
"jor",1888,,1383.117634,44.3,421.34
"fra",1888,,3499.721715,49,241.77
"and",1888,,2772.797969,,
"sau",1888,,953.5086367,46.4,416.16
"cog",1888,,737.1845767,42.3,408.51
"mar",1888,,807.2351701,36.9,403.44
"brn",1888,,1909.616097,,454.69
"bhs",1888,,2291.220733,,219.5790382
