"geo","time","pop","gdp_pc","gini","u5mr"
"cod",1999,46788238,583.2030829,44,164.9
"ton",1999,97398,4478.008758,,17.9
"mnp",1999,67271,,,
"reu",1999,724484,,,11.166
"uga",1999,23026357,1042.813903,43.1,150.4
"brb",1999,268920,14399.73036,,16
"mng",1999,2376165,4643.413859,30.9,67.1
"afg",1999,19038420,972.1871888,36.6,139.9
"rwa",1999,7585143,754.0233906,50.6,194.9
"com",1999,533909,1406.88037,51.2,101.8
"ago",1999,14601983,3388.988341,58.4,218.9
"png",1999,5236863,1953.233588,50.4,79.3
"brn",1999,323812,74040.63903,,9.6
"gmb",1999,1192920,1527.074156,49.6,123.2
"jor",1999,4691402,7566.406722,41.1,28.4
"and",1999,64161,31939.79854,,4.8
"cog",1999,3031969,4412.622147,46.2,121.4
"cck",1999,627,,,
"mar",1999,28630973,4413.677348,42.7,52.3
"pol",1999,38515359,13824.435,31.5,9.9
"kwt",1999,1853152,75315.8257,39.3,12.9
"jpn",1999,125481050,31535.09976,32.9,4.7
"mkd",1999,1999362,8241.857226,39.4,16.9
"mli",1999,10736542,1264.624589,42.8,226.4
"zwe",1999,12374019,2625.118893,59.7,87.8
"mys",1999,22898579,14747.86997,49,11
"sen",1999,9617641,1904.098099,42.5,139.7
"fra",1999,59107738,33706.94515,28.4,5.5
"sau",1999,20825955,36745.75316,42.4,23.8
"mwi",1999,10882543,640.047823,39,182.7
"ecu",1999,12398691,7510.999937,58.6,35.9
"ssd",1999,6398416,2518.197843,35.62,191.4
"vut",1999,181346,2720.138196,,28.8
"twn",1999,22008333,32852.32116,,
"ncl",1999,205983,,,22.854
"tuv",1999,9374,3109.096494,,44.2
"scg",1999,10914959,,,
"lbr",1999,2741755,397.1919296,39.1,193.9
"cxr",1999,2431,,,
"cmr",1999,15514249,2369.144896,40.4,152.3
"mac",1999,425448,38504.3987,,10.298
"eth",1999,64550161,604.451516,30,150.8
"lux",1999,431264,76102.48308,26.9,5.1
"blz",1999,239024,6568.235252,,25.8
"tkl",1999,1571,,,
"hrv",1999,4456298,14652.29315,,8.6
"yem",1999,17304422,3891.743985,33.8,99.7
"abw",1999,89004,42564.06507,,21.493
"scg_ex_kos",1999,7541497,,,
"qat",1999,570643,107741.3905,43.7,12.9
"srb",1999,9559819,7160.679679,38.8,13.1
"kaz",1999,15059994,8813.216259,34.3,45.9
"vir",1999,108431,,,14.601
"ussr",1999,289659497,,,
"irl",1999,3788816,38121.76159,31.7,7.3
"mrt",1999,2629806,2833.648399,38.7,113.6
"civ",1999,16137824,3178.29844,40.9,144.3
"ner",1999,10821434,818.5102003,48.1,236.4
"are",1999,2884188,101939.5163,45.1,11.5
"chanisl",1999,147682,,,13.337
"bhr",1999,640904,44619.10211,35,13.2
"btn",1999,548387,3459.041133,46.8,84.4
"aut",1999,8032953,37381.80689,26.9,5.6
"syc",1999,80066,18340.87099,,14.2
"spm",1999,6277,,,
"vgb",1999,20186,,,
"nga",1999,119826231,2761.205005,50,192
"rou",1999,22288573,9752.194778,29.4,28.1
"swe",1999,8863595,35208.20578,24,4.1
"asm",1999,56768,,,
"tza",1999,33135281,1454.103799,36.3,135.6
"prt",1999,10237593,25370.75889,37.5,7.7
"npl",1999,23315053,1516.969048,46.1,85.6
"moz",1999,17774066,592.0247648,42.6,176.5
"prk",1999,22641747,1377,46.9,67.4
"omn",1999,2225481,43543.60682,40.9,17.8
"kos",1999,2636136,4352.642463,,
"ita",1999,57035249,34798.06349,34,5.9
"fji",1999,806494,6594.328298,46.2,24.8
"bih",1999,3784389,5964.955188,33.9,9.9
"jey",1999,88431,,,
"col",1999,39819279,8193.784408,50.6,26
"bmu",1999,63768,47199.84145,,
"aze",1999,8047997,4046.607467,36,79.3
"pak",1999,135158132,3303.057435,36.9,114.9
"egy",1999,67112877,7527.917131,33.3,49.5
"nld",1999,15806771,40305.90095,26.6,6.3
"swz",1999,1048151,5242.540152,54.6,103.9
"sxm",1999,31617,,,
"gha",1999,18384426,2244.155523,41.1,104
"yem_south",1999,3650132,,,
"mco",1999,31795,48522.8533,,5.3
"cyp",1999,925491,28697.55301,28.9,7
"syr",1999,15972430,5290.670345,34.7,24.4
"sdn",1999,27406808,2182.578756,35.6,108.8
"nfk",1999,1927,,,
