"geo","time","pop","gdp_pc","gini","u5mr"
"ner",1854,,527.1652146,43.3,433.13
"are",1854,,1220.691295,44,434.46
"tls",1854,,579.6207551,41.5,453.1377881
"syc",1854,,980.3444724,,276.9677906
"aut",1854,,3024.406541,36.1,443.35
"mrt",1854,,623.3819414,48.5,417.44
"bhr",1854,,1602.442345,43.1,439.79
"nga",1854,,1029.806871,46.2,438.46
"bgd",1854,,878.7313933,43.5,507.88
"btn",1854,,674.9549275,47.5,442.969525
"civ",1854,,1008.250167,41.6,427.86
"moz",1854,,402.8981342,47.7,439.79
"tza",1854,,617.5486393,37.6,414.89
"bih",1854,,783.0276348,38,378.8
"npl",1854,,659.3150113,41,407.24
"omn",1854,,1057.468958,44.8,413.61
"rou",1854,,1301.978973,47.8,371.61
"cym",1854,,1310.271403,,
"mlt",1854,,1070.275558,,221.1731552
"swe",1854,,1758.017372,57.9,219.7
"sle",1854,,867.3491547,51.6,513.91
"pak",1854,,1023.920994,32.3,501.85
"lva",1854,,957.8420078,48.9,404.69
"lka",1854,,1008.012387,45.7,409.79
"swz",1854,,578.5608871,53.2,413.61
"nld",1854,,4801.15666,50.1,297.63
"dma",1854,,836.1557949,,
"nam",1854,,899.838286,52.6,412.34
"mco",1854,,2969.941608,,
"lao",1854,,940.2047651,38.4,418.74
"aze",1854,,939.4060699,40,343.8162165
"cyp",1854,,1279.299649,37.3,339.12
"col",1854,,1054.170263,58.9,417.44
"gab",1854,,393.4146218,45.9,435.79
"bmu",1854,,1547.725962,,
"ind",1854,,1055.255634,37.3,509.39
"pry",1854,,1281.503553,48,374
"tur",1854,,1466.953509,41.6,379.99
"ltu",1854,,1619.936104,48.9,458.81
"lbn",1854,,1387.033393,59.4,447.88
"pan",1854,,1246.277535,49.4,405.96
"plw",1854,,944.1864065,,
"phl",1854,,1014.40595,36.6,431.79
"alb",1854,,723.2105986,41.2,375.2
"bel",1854,,3821.807354,52.8,280.3
"bwa",1854,,469.4477752,35.6,397.2
"slb",1854,,410.361956,48.5,504.87
"lca",1854,,980.6235382,,328.7613756
"aus",1854,,4362.787302,45.9,390.99
"nru",1854,,654.3784016,,
"per",1854,,1320.453128,46.8,371.61
"guy",1854,,1530.949952,38.2,429.16
"sgp",1854,,1104.761048,41.8,392.21
"cub",1854,,1616.475095,39.6,362.15
"irq",1854,,1117.436971,60.6,427.86
"usa",1854,,3586.048975,54.6,368.042
"mus",1854,,1110.938587,42,427.86
"tgo",1854,,806.5569093,42,426.55
"caf",1854,,501.209164,47.2,443.79
"bgr",1854,,1291.451976,47.8,342.51
"mex",1854,,1282.256846,35.5,487.15
"mhl",1854,,557.1111611,,
"som",1854,,730.3751795,50.9,451.96
"est",1854,,1196.060843,48.9,362.15
"grd",1854,,1110.50599,,317.5673434
"gin",1854,,484.0158071,32.7,442.46
"nor",1854,,1899.933572,48.1,152.64
"uzb",1854,,559.1900398,44.4,380.2991464
"cze",1854,,2491.367692,49.7,379.99
"dom",1854,,804.38911,43.8,445.15
"mdv",1854,,842.119482,,421.8356268
"eri",1854,,581.8846226,47.3,441.12
"svn",1854,,1833.505457,30.8,360.97
"fsm",1854,,535.4718935,,315.4125092
"arm",1854,,587.2523745,35.2,345.8868523
"nzl",1854,,2472.036859,38.2,306.3347458
"kna",1854,,1468.512152,,
"tkm",1854,,1202.684705,41.4,484.0666052
"geo",1854,,639.8721649,29.7,354.3913793
"tca",1854,,613.5884193,,
"irn",1854,,1045.081829,60.4,506.38
"hnd",1854,,1044.190783,50.9,393.46
"stp",1854,,939.7726534,,356.0364526
"arg",1854,,2448.229456,32,402.19
"smr",1854,,1579.800952,,
"deu",1854,,2207.450222,44,472.58
"lby",1854,,1597.137744,43,404.69
"vct",1854,,1056.710434,,340.7233649
"tto",1854,,1483.517035,43.8,335.73
"bfa",1854,,499.7724376,37.5,454.69
"ben",1854,,705.1461009,45.5,430.46
"zmb",1854,,755.7585718,43.5,409.79
"kor",1854,,545.0799112,32.1,503.36
"ken",1854,,1010.70823,46.3,507.88
"jam",1854,,912.669064,39.1,389.77
"cpv",1854,,613.4345195,49,394.71
"mdg",1854,,676.9263752,41,437.13
"tcd",1854,,494.167558,50.1,431.79
"bdi",1854,,439.4453296,43.7,423.95
"slv",1854,,1299.989187,47.2,461.6
"tjk",1854,,679.1262579,47.4,338.4826148
"zaf",1854,,1695.884409,35.9,398.45
"dnk",1854,,2899.045387,52.2,236.53
"gnq",1854,,381.9703022,49.1,446.51
"can",1854,,2281.616091,30.1,309.38
"ury",1854,,3913.544202,48.1,405.96
"dza",1854,,1062.590602,59.4,460.21
"svk",1854,,1855.806686,49.7,363.32
"gnb",1854,,801.2028308,49.8,417.44
"bol",1854,,1181.270924,36.9,404.69
"tun",1854,,844.9720833,60.2,460.21
"ukr",1854,,973.2524695,33.8,360.97
"mda",1854,,749.030612,47.8,358.9212122
"mne",1854,,1376.396384,37.6,375.2
"mmr",1854,,846.8439549,33.6,433.13
"idn",1854,,1048.904565,41.4,443.79
"gtm",1854,,1133.457577,35.3,503.36
"kir",1854,,577.842036,,371.8756622
"lso",1854,,405.2160366,53.4,407.24
"isr",1854,,886.5743842,44.9,447.4759389
"blr",1854,,748.6058896,53.2,365.67
"rus",1854,,1824.235917,53.2,418.74
"hkg",1854,,1089.853315,,
"sur",1854,,2063.534693,37.7,405.96
"gbr",1854,,5080.165977,44.6,281.86
"uga",1854,,548.1300608,41,510.9
"wsm",1854,,1575.952153,,369.9421692
"tha",1854,,981.065638,40.9,438.46
"mys",1854,,1072.034645,28.4,435.79
"dji",1854,,892.1046598,44.3,445.15
