"geo","time","pop","gdp_pc","gini","u5mr"
"ssd",1851,,590.8622346,33.78,490.08
"bih",1851,,781.6948868,37.4,378.8
"cmr",1851,,729.3009087,45.9,460.21
"prt",1851,,1822.764452,34.4,372.81
"mac",1851,,1105.582679,,
"tza",1851,,612.6001128,37.6,414.89
"ita",1851,,2435.307719,50.6,450.6
"fji",1851,,874.5081235,46.8,498.88
"prk",1851,,549.5798836,47.8,500.35
"gha",1851,,724.7959193,43.6,471.38
"hrv",1851,,1731.991344,,366.84
"yem",1851,,1013.034769,62.2,540.44
"irl",1851,,2090.922573,30.1,348.22
"che",1851,,3780.925819,49.6,344.77
"chn",1851,,975.1648153,37,430.46
"eth",1851,,529.7890987,47.5,447.88
"bra",1851,,1267.188578,38.8,417.44
"syr",1851,,1127.066819,62.9,429.16
"egy",1851,,915.1116333,62.3,404.69
"srb",1851,,1746.846204,32.5,374
"cri",1851,,1099.047313,46.3,441.12
"sdn",1851,,603.7183712,33.8,425.25
"lca",1851,,971.0080151,,334.9344962
"mrt",1851,,614.4204746,48.6,417.44
"ind",1851,,1054.746415,38.4,509.39
"nga",1851,,1015.855239,46.9,438.46
"tls",1851,,576.1979765,40.9,452.7066643
"slb",1851,,406.0529227,48.3,504.87
"bhr",1851,,1548.840357,43.2,439.79
"are",1851,,1207.076385,44.1,434.46
"plw",1851,,934.6307947,,
"bgd",1851,,878.307357,42.2,507.88
"btn",1851,,670.9828253,47.5,444.078416
"civ",1851,,996.2198286,41.3,427.86
"bel",1851,,3478.365545,52.8,258.48
"syc",1851,,968.7647519,,284.4218393
"ner",1851,,519.5869175,43.3,433.13
"npl",1851,,659.0298419,41,407.24
"moz",1851,,402.1964122,47.5,439.79
"rou",1851,,1249.65366,47.8,371.61
"swe",1851,,1753.834172,58,232.28
"sle",1851,,854.8805216,52.1,513.91
"cym",1851,,1284.064624,,
"mlt",1851,,1041.257437,,230.3431505
"omn",1851,,1044.373817,44.8,413.61
"mus",1851,,1094.968219,41.7,427.86
"nam",1851,,860.4432536,52.6,412.34
"col",1851,,1046.038472,58.9,417.44
"nld",1851,,4706.337829,48.9,303.62
"bmu",1851,,1516.769847,,
"aze",1851,,923.9743286,39.6,345.9340361
"caf",1851,,494.0039998,47,443.79
"cyp",1851,,1234.73318,36.8,339.12
"lva",1851,,939.4549754,48.9,404.69
"lao",1851,,933.513476,38.4,418.74
"lka",1851,,947.1614366,45.9,409.79
"mco",1851,,2868.239335,,
"swz",1851,,570.2437482,53.6,413.61
"gab",1851,,393.2393988,45.9,435.79
"dma",1851,,819.4318171,,
"pak",1851,,1023.426896,29.6,501.85
