"geo","time","pop","gdp_pc","gini","u5mr"
"tto",1819,,1233.630552,44.5,405.96
"bfa",1819,,480.9690577,37.5,454.69
"hun",1819,,1252.699868,47.4,368.01
"kor",1819,,564.7671802,32.1,503.36
"jam",1819,,1173.656722,39.1,389.77
"deu",1819,,1873.573627,53,340.25
"bdi",1819,,425.4266882,43.7,423.95
"slv",1819,,977.1378432,50.9,461.6
"zaf",1819,,1483.851276,35.9,398.45
"dnk",1819,,2084.903117,61,358.63
"ben",1819,,598.3277458,48,430.46
"stp",1819,,880.7385788,,413.9730698
"cpv",1819,,530.7072165,50,394.71
"mdg",1819,,574.3828571,41,437.13
"tcd",1819,,419.3090774,50.6,431.79
"smr",1819,,1450.220246,,
"tjk",1819,,560.3012437,47.4,365.7368231
"lby",1819,,1052.735071,44.3,404.69
"gnq",1819,,364.6394415,46.4,446.51
"ukr",1819,,780.3692317,45.6,360.97
"kir",1819,,560.303327,,422.6870066
"svk",1819,,1430.797963,34.9,363.32
"fin",1819,,1287.926946,50.6,358.63
"gnb",1819,,779.3309931,49.8,417.44
"gtm",1819,,859.5102604,35.3,503.36
"tun",1819,,717.7534971,57.7,460.21
"can",1819,,1481.871918,45.1,333.47
"ury",1819,,1762.890152,48.1,405.96
"khm",1819,,906.0287249,40.1,379.99
"isr",1819,,881.9675494,44.9,447.8155382
"blr",1819,,614.0926973,57.9,365.67
"uga",1819,,465.0971242,41,510.9
"brb",1819,,916.0600003,,502.2344176
"lso",1819,,397.3395325,55.1,407.24
"hkg",1819,,1009.638997,,
"ton",1819,,664.4053819,,383.7421468
"wsm",1819,,1404.126944,,432.6533815
"tha",1819,,934.0867868,47.4,438.46
"nic",1819,,975.8610556,53.7,509.39
"isl",1819,,928.9590712,,412.34
"hti",1819,,635.1181394,42.2,486.198422
"png",1819,,547.7992489,25.8,423.95
"brn",1819,,1516.172559,,454.69
"mys",1819,,1000.118608,25.3,435.79
"atg",1819,,758.9156384,,405.897362
"zwe",1819,,888.9539787,34.6,395.95
"esp",1819,,1522.13443,38,450.6
"pol",1819,,1303.856179,34.5,369.21
"pse",1819,,1223.876416,36.2,435.0193402
"pri",1819,,1379.108622,,
"jpn",1819,,1077.802377,53.2,363.32
"ago",1819,,671.2588684,48.9,485.68
"bhs",1819,,1449.162507,,399.4763464
"dji",1819,,798.6132052,42.4,445.15
"sen",1819,,498.5170584,45.9,512.4
"jor",1819,,979.0227822,39.9,421.34
"fra",1819,,1872.06369,59,312.23
"lbr",1819,,799.1509293,39.9,429.16
"kgz",1819,,509.5446579,46,381.3375981
"ecu",1819,,530.7194855,39.9,405.96
"vnm",1819,,863.429458,40.4,417.44
"grc",1819,,1417.161216,49.9,360.97
"twn",1819,,998.638951,,
"tuv",1819,,720.5607643,,
"ven",1819,,683.9080393,43.5,414.89
"grl",1819,,394.4183886,,
"vut",1819,,587.0857622,,383.1482036
"chl",1819,,1029.254157,47.1,417.44
"qat",1819,,1178.050004,44.6,433.13
"blz",1819,,580.3543496,,407.8295103
"kaz",1819,,1165.81581,43.3,497.41
"rwa",1819,,441.5476389,59,420.04
"com",1819,,709.554765,36.3,416.16
"lux",1819,,1456.782335,28.9,357.45
"mng",1819,,593.7614591,36.4,420.04
"cod",1819,,524.0853284,42.1,422.65
"afg",1819,,604.393795,30.5,471.38
"abw",1819,,835.0857977,,
"mrt",1819,,528.9495486,49.2,417.44
"gmb",1819,,822.3345569,45.4,460.21
"mkd",1819,,691.9701197,32.5,393.9229847
"mwi",1819,,350.9017488,45.7,439.79
"mar",1819,,716.8007957,57.7,403.44
"aut",1819,,1994.658816,53.4,307.34
"kwt",1819,,1178.050004,44.6,500.35
"and",1819,,1239.288831,,
"cog",1819,,606.4911533,51.1,408.51
"sau",1819,,856.9523965,45.3,416.16
"btn",1819,,631.1802383,47.1,456.0807103
"mli",1819,,604.3108471,47.2,494.48
"npl",1819,,655.9847575,41,407.24
"prk",1819,,567.6999371,46,500.35
"tza",1819,,563.6396473,37.6,414.89
"mac",1819,,995.1126081,,
"fji",1819,,787.127074,47.3,498.88
"ssd",1819,,508.6684529,33.78,490.08
"ita",1819,,2473.633215,60.5,454.69
"bih",1819,,670.4027182,30.4,378.8
"cmr",1819,,627.8491724,56.2,460.21
"prt",1819,,1689.35171,55.1,372.81
"eth",1819,,524.0558925,47.5,447.88
"hrv",1819,,,,366.84
"syr",1819,,1084.112806,57.7,429.16
"che",1819,,2708.772701,41.7,344.77
"bra",1819,,1111.94333,40.1,417.44
"cri",1819,,777.1808972,48.6,441.12
"sdn",1819,,519.7361955,33.8,425.25
"irl",1819,,1451.1267,44.6,348.22
"srb",1819,,1361.642744,32.5,374
"chn",1819,,985.2724109,44.2,417.44
"yem",1819,,925.3088391,57.7,540.44
"egy",1819,,793.0868866,57.7,404.69
"gha",1819,,706.5140213,58.4,471.38
"civ",1819,,876.4823516,38.1,427.86
"ner",1819,,447.3081169,43.3,433.13
"are",1819,,1070.954549,44.7,434.46
"lca",1819,,876.8624156,,408.4480669
"tls",1819,,540.9156582,34.3,448.1334547
"slb",1819,,364.032463,46.2,504.87
"syc",1819,,853.4320358,,377.5624498
"bhr",1819,,1340.192815,44.3,439.79
"bgd",1819,,874.5091768,41.8,507.88
"nga",1819,,880.7155707,54.9,438.46
"ind",1819,,1050.185237,32.8,509.39
"plw",1819,,841.2422743,,
"bel",1819,,2419.1813,62.4,320.22
"swe",1819,,1448.977934,67.5,293.64
"sle",1819,,735.9596314,57.1,513.91
"mlt",1819,,783.6717101,,355.2762043
"moz",1819,,394.7821079,45.2,439.79
"cym",1819,,1041.95366,,
"omn",1819,,918.048654,44.9,413.61
"rou",1819,,817.7840612,47.8,371.61
"mus",1819,,942.6491612,39.3,427.86
"aze",1819,,778.4186995,34.6,369.3521427
"lka",1819,,900.5880062,48,409.79
"lva",1819,,768.0128797,48.9,404.69
"nld",1819,,3645.494284,56.3,323.5
"nam",1819,,541.6880824,52.6,412.34
"cyp",1819,,855.8123958,31.9,339.12
"gab",1819,,391.3703532,45.9,435.79
"bmu",1819,,1230.782209,,
"pak",1819,,1019.001156,28.7,501.85
"swz",1819,,490.9181671,58,413.61
"col",1819,,965.4409591,58.9,417.44
"dma",1819,,664.9275784,,
"caf",1819,,425.2839928,45.2,443.79
"mco",1819,,1998.263871,,
"lao",1819,,866.9582938,38.4,418.74
"ltu",1819,,1298.890404,48.9,458.81
"irn",1819,,979.9146883,57.7,506.38
"lbn",1819,,1098.44909,57.7,447.88
"tur",1819,,1224.648968,57.7,379.99
"aus",1819,,851.0300329,41.3,390.99
"pan",1819,,849.5090507,55.6,405.96
"phl",1819,,964.8588582,32.5,431.79
"alb",1819,,669.2814105,41.2,375.2
"fsm",1819,,523.9214378,,397.4294338
"pry",1819,,837.4445239,53.2,374
"bwa",1819,,398.3339463,35.6,397.2
"nru",1819,,555.4249289,,
"vct",1819,,840.3169774,,415.8536031
"irq",1819,,972.4951558,57.7,427.86
"arg",1819,,1511.649617,47.1,402.19
"sgp",1819,,1024.249194,41,456.05
"guy",1819,,1217.441595,38.2,429.16
"cub",1819,,1077.115591,37.6,383.66
"per",1819,,1207.214519,57.4,371.61
"usa",1819,,2254.751266,66.6,456.109
"zmb",1819,,694.4723878,39.9,409.79
"tgo",1819,,684.3764388,37.8,426.55
"ken",1819,,905.8566903,46.3,507.88
"mda",1819,,622.7605296,47.8,383.0368749
"mhl",1819,,545.3300981,,
"mne",1819,,1060.415737,32.8,375.2
"mex",1819,,1382.919787,40.1,487.15
"dza",1819,,733.9422318,57.7,460.21
"mmr",1819,,842.4435681,30.5,433.13
"est",1819,,959.0205118,48.9,362.15
"grd",1819,,961.2362246,,410.749365
"gin",1819,,451.4505368,32.7,447.88
"bol",1819,,856.0214794,36.9,404.69
"idn",1819,,997.1500226,51.7,443.79
"nor",1819,,1317.522996,43.7,322.4
"uzb",1819,,503.691294,44.4,381.0381988
"bgr",1819,,1092.04178,47.8,360.97
"som",1819,,706.2625555,50.9,451.96
"cze",1819,,1920.805569,34.9,379.99
"dom",1819,,668.8962503,41.4,445.15
"mdv",1819,,844.8860268,,445.0860816
"sur",1819,,1640.963484,34.1,405.96
"nzl",1819,,660.3466261,38.2,390.99
"kna",1819,,1167.789825,,
"eri",1819,,533.5127962,45.8,441.12
"geo",1819,,544.4671501,29.7,381.328951
"tca",1819,,487.937612,,
"svn",1819,,1412.585838,27.7,360.97
"rus",1819,,1462.701227,57.9,418.74
"tkm",1819,,964.3316292,41.4,493.0010232
"hnd",1819,,676.4645494,58,393.46
"arm",1819,,515.1428569,29.1,362.088969
"gbr",1819,,3194.544029,59.3,313.69
