"geo","time","pop","gdp_pc","gini","u5mr"
"lca",1839,,933.4777198,,360.8080691
"tur",1839,,1354.740117,44.9,379.99
"ltu",1839,,1470.305144,48.9,458.81
"lbn",1839,,1251.85572,61.1,447.88
"pan",1839,,1052.476329,52,405.96
"plw",1839,,897.3638994,,
"alb",1839,,698.9506305,41.2,375.2
"bel",1839,,2825.609625,56.3,300.8
"bwa",1839,,436.6603248,35.6,397.2
"slb",1839,,389.2637624,47.5,504.87
"aus",1839,,1794.915413,44.6,390.99
"ind",1839,,1052.923974,36.6,509.39
"tls",1839,,562.7066761,38.4,450.986267
"guy",1839,,1383.847473,38.2,429.16
"mlt",1839,,932.8402761,,270.986003
"sgp",1839,,1068.562813,41.5,392.21
"cub",1839,,1358.346112,38.8,360.97
"irq",1839,,1051.076573,61.1,427.86
"usa",1839,,2937.117289,58.8,428.147
"mus",1839,,1033.347754,40.8,427.86
"tgo",1839,,750.2248825,40.1,426.55
"nru",1839,,608.7592476,,
"som",1839,,719.9443915,50.9,451.96
"est",1839,,1085.582577,48.9,362.15
"gin",1839,,469.4012017,32.7,445.15
"nor",1839,,1469.800961,46.3,256.73
"uzb",1839,,534.0257415,44.4,380.6157075
"gab",1839,,392.5385067,45.9,435.79
"lka",1839,,917.7210971,46.7,409.79
"caf",1839,,466.2034159,46.3,443.79
"bgr",1839,,1199.425749,47.8,350.52
"grd",1839,,1042.061073,,354.5886773
"mex",1839,,1325.822142,34.7,487.15
"mhl",1839,,552.03312,,
"eri",1839,,560.0644438,46.6,441.12
"cze",1839,,2242.407775,43.6,379.99
"phl",1839,,992.3092619,32.5,431.79
"dom",1839,,741.574241,42.8,445.15
"irn",1839,,1015.887221,61.1,506.38
"arm",1839,,554.3104714,29.1,352.7398985
"fsm",1839,,530.492603,,348.2566283
"nzl",1839,,662.3176139,38.2,390.99
"kna",1839,,1327.409056,,
"geo",1839,,595.9189682,29.7,365.6948526
"tca",1839,,554.6313138,,
"pry",1839,,1062.273508,50.2,374
"mdv",1839,,843.3970836,,431.6475647
"vct",1839,,955.1756163,,371.0990711
"bfa",1839,,491.4217767,37.5,454.69
"ben",1839,,655.896868,46.6,430.46
"zmb",1839,,728.8596546,41.9,409.79
"kor",1839,,553.4336916,32.1,503.36
"ken",1839,,964.3655452,46.3,507.88
"deu",1839,,2093.7975,47.1,462.84
"cpv",1839,,575.4960439,49.5,394.71
"mdg",1839,,629.6480812,41,437.13
"tcd",1839,,459.6536138,50.6,431.79
"slv",1839,,1146.227755,48.8,461.6
"bdi",1839,,433.3830863,43.7,423.95
"zaf",1839,,1478.016028,35.9,398.45
"dnk",1839,,2352.720798,55,267.11
"gnq",1839,,374.4453907,48,446.51
"smr",1839,,1503.495516,,
"arg",1839,,1979.243814,38.6,402.19
"per",1839,,1269.328949,49.6,371.61
"lby",1839,,1328.951475,43.6,404.69
"gnb",1839,,791.5334344,49.8,417.44
"bol",1839,,1024.88325,36.9,404.69
"tun",1839,,786.3347189,61.1,460.21
"ukr",1839,,883.3546635,35.9,360.97
"mda",1839,,690.4906873,47.8,369.0647853
"mne",1839,,1238.655768,35.5,375.2
"mmr",1839,,844.9580748,30.5,433.13
"idn",1839,,1025.7405,45.5,443.79
"ury",1839,,2752.966618,48.1,405.96
"can",1839,,1892.919665,33.5,321.31
"dza",1839,,903.0770282,61.1,460.21
"svk",1839,,1670.357753,43.6,363.32
"rus",1839,,1655.734104,55.4,418.74
"blr",1839,,686.1329722,55.4,365.67
"tkm",1839,,1091.594603,41.4,487.8756423
"sur",1839,,1865.258407,36.2,405.96
"hnd",1839,,862.2489907,53.9,393.46
"gbr",1839,,4007.410974,49.3,261.9845636
"uga",1839,,509.8472354,41,510.9
"wsm",1839,,1497.80018,,395.62104
"lso",1839,,401.8227867,54.1,407.24
"hkg",1839,,1053.780362,,
"isr",1839,,884.6000264,44.9,447.6214499
"svn",1839,,1650.020398,27.7,360.97
"esp",1839,,1593.772733,34,450.6
"tha",1839,,960.121485,44,438.46
"hun",1839,,1452.712538,38.4,368.01
"bhs",1839,,1647.241134,,335.8595336
"nic",1839,,1194.137394,50.6,509.39
"pri",1839,,1528.953749,,
"jam",1839,,1002.584986,39.1,389.77
"brn",1839,,1617.320671,,454.69
"tjk",1839,,623.9831678,47.4,349.9050569
"atg",1839,,862.6479436,,345.0600547
"isl",1839,,1142.040506,,438.64
"dji",1839,,850.7693346,43.5,445.15
