"geo","time","pop","gdp_pc","gini","u5mr"
"kwt",1994,1691891,75576.63335,39.3,15.2
"civ",1994,13953779,2851.085535,38,149.3
"sau",1994,18373412,36526.20617,42.4,31.8
"mkd",1994,1956165,7779.143746,33.4,27.8
"vgb",1994,18051,,,
"mwi",1994,9725612,514.0100204,51.3,206.4
"mli",1994,9383608,1087.47541,50.5,242
"mar",1994,26747660,4196.645287,39.5,66.4
"gmb",1994,1036627,1475.46318,48.7,147.5
"aut",1994,7929911,32659.94923,31.5,7.4
"and",1994,62707,25906.77683,,6.4
"mrt",1994,2266745,2660.200648,43.7,113.9
"cog",1994,2649964,4658.517796,45.4,103.8
"cck",1994,586,,,
"btn",1994,511382,2722.949755,46.9,110.8
"ita",1994,57119163,31812.91895,29,8
"asm",1994,51807,,,
"bih",1994,3992256,1573.599192,26.2,15.6
"mac",1994,391783,43778.23354,,13.069
"prk",1994,21478544,1605,46.9,67.7
"rou",1994,23115921,9793.592542,28.2,33.2
"ssd",1994,5425099,2124.844509,35.79,230.3
"fji",1994,765666,6001.593309,45.2,26.6
"prt",1994,10033600,21145.50798,37,10.5
"npl",1994,20859421,1393.040463,36,113.7
"tza",1994,29030288,1361.566111,35,156.4
"hrv",1994,4657799,11764.23423,,10.4
"syr",1994,13941025,4692.720111,40.2,30.9
"sdn",1994,23805536,1879.47239,35.8,120.2
"nfk",1994,1827,,,
"srb",1994,9863781,6786.256635,33.6,21.8
"fro",1994,44600,,,
"cri",1994,3425692,8377.846874,46.8,15.5
"swz",1994,944223,4908.911698,60.7,75.7
"bra",1994,160260508,10801.7742,59.8,49.8
"gha",1994,16339344,2035.736056,41.1,115.1
"stbar",1994,5778,,,
"yem",1994,14633091,3597.808126,39.8,113.2
"egy",1994,61272847,6359.532644,43.4,68.9
"irl",1994,3620616,25156.03462,36.9,7.4
"che",1994,6959860,44822.54996,29.5,6.7
"sxm",1994,30471,,,
"chn",1994,1216067023,2323.301433,44.7,49.3
"eth",1994,55366517,562.3511648,35,182
"yem_south",1994,3075866,,,
"lca",1994,145262,8676.619762,,20.6
"chanisl",1994,143388,,,15.284
"pyf",1994,211584,,,16.833
"lbn",1994,2974647,11729.40485,45.3,27
"eri_a_eth",1994,58815908,,,
"plw",1994,16805,12881.79274,,32.3
"bgd",1994,115913710,1383.184353,32.6,119.9
"syc",1994,75493,15506.88501,,14.7
"spm",1994,6305,,,
"ner",1994,9039088,818.4578105,41.5,292.2
"tur",1994,57608769,10856.97294,49,58.8
"ind",1994,942604211,1959.053073,38.6,112.1
"tls",1994,842752,1365.066644,34.5,147
"nga",1994,105753088,2817.470424,45.2,209.7
"slb",1994,349250,2170.845876,46.5,36.2
"pan",1994,2682720,8823.406452,54,28.4
"bel",1994,10130251,32077.34257,28,8.2
"bhr",1994,549151,42711.65558,35,19.6
"hos",1994,780,,,
"are",1994,2238281,104855.0151,45.1,13.6
"jey",1994,85754,,,
"cheslo",1994,15670288,,,
"mlt",1994,369142,19616.43212,,9.9
"guy",1994,723230,4331.214445,47.6,54.1
"gbm",1994,71726,,,
"omn",1994,2139539,38131.16057,40.9,26.8
"yug",1994,22954514,,,
"kos",1994,2472210,5165.815048,,
"cym",1994,30055,56411.78329,,
"swe",1994,8788696,30000.35425,25.2,5.2
"sle",1994,3858559,1124.213547,41.2,259.9
"moz",1994,15363065,468.1761687,46,218.5
"mus",1994,1114140,8764.300277,37.1,21.6
"sjm",1994,2967,,,
"deu_east",1994,15992736,,,
"korea_union",1994,66102260,,,
"lka",1994,18099591,3915.345294,31.5,20.8
"lva",1994,2525444,8081.081143,29,24
"mhl",1994,50577,3320.676338,,43.4
