"geo","time","pop","gdp_pc","gini","u5mr"
"nru",1947,,3878.87558,,
"guy",1947,,4091.314331,41.9,168.4189472
"cub",1947,,8723.53236,36.7,53.96
"per",1947,,3963.894926,56,312.5662935
"sgp",1947,,5108.071709,41,125.89
"usa",1947,,14266.81755,41.5,40.82423756
"mus",1947,,2361.920327,41.9,175.1997362
"tgo",1947,,1038.546141,38.3,340.8
"irq",1947,,2865.598003,59.3,434.4
"arg",1947,,7861.669615,40.3,110.2222913
"som",1947,,976.1807383,44.1,386.8016027
"est",1947,,3681.802874,35.6,105.97
"grd",1947,,1656.962115,,161.0885977
"mex",1947,,3923.128573,52.6,226.4182534
"dza",1947,,3837.841415,40.2,325.2020871
"mhl",1947,,1273.340072,,
"mda",1947,,2034.725228,25,147.0397937
"uzb",1947,,1297.261978,40,219.6811409
"gin",1947,,608.8621298,42.1,362.6
"nor",1947,,10195.97375,38,41.87230076
"idn",1947,,1074.838921,53.4,332.0109377
"bgr",1947,,2131.554898,25,216.87
"mne",1947,,3430.151071,39.8,146.300931
"mdv",1947,,878.9388802,,363.341741
"eri",1947,,779.8145207,47.5,373.1941488
"geo",1947,,1755.598149,41.5,137.328321
"svn",1947,,4361.048753,35.5,109.248918
"rus",1947,,5610.834333,32.7,99.20080179
"kna",1947,,3272.564877,,
"tkm",1947,,3742.686006,39.9,207.6300533
"sur",1947,,5273.77099,33.9,176.5638199
"hnd",1947,,2453.040384,41.9,286.1991717
"irn",1947,,3671.674439,45.8,321.8376388
"arm",1947,,1404.993131,42.6,122.2886586
"nzl",1947,,13335.94541,35.2,34.89937269
"cze",1947,,7105.393544,40.4,96.2963787
"tca",1947,,1813.902482,,
"dom",1947,,1956.031853,40.4,193.8554597
"lby",1947,,5015.343866,38.9,366.1364961
"bdi",1947,,500.819328,43.3,343.7543181
"tto",1947,,4563.07688,44.5,115.9887443
"bfa",1947,,525.8257298,38.7,395
"deu",1947,,4504.138263,46.5,68.0543629
"ben",1947,,1219.38979,41.2,358
"cpv",1947,,783.6979794,47.6,244.1283953
"mdg",1947,,1799.377282,38.7,342.9888696
"dnk",1947,,10483.74981,39.5,45.92460294
"smr",1947,,7037.57851,,
"slv",1947,,3142.717007,40.5,274.1971147
"zmb",1947,,2400.256418,40.3,318.7880054
"zaf",1947,,6689.842139,66.8,271.9911824
"tjk",1947,,1855.18281,43.2,223.6764209
"stp",1947,,1185.374444,,237.7068346
"kor",1947,,653.5439226,30.6,354.1833779
"ken",1947,,1744.66076,68.3,364.2508548
"jam",1947,,3051.832434,41.9,136.3143196
"gnq",1947,,482.7565706,50.5,381.3607475
"tcd",1947,,1164.742618,40.7,358.106424
"vct",1947,,2105.847704,,199.8699438
"hun",1947,,4141.434445,27,153.0553279
"svk",1947,,5235.527965,38.2,148.3348675
"gnb",1947,,836.3614837,40.1,299.0141481
"fin",1947,,6286.867695,36.1,75.48
"bol",1947,,2861.197528,35.8,314.9079304
"mmr",1947,,813.4524158,33.6,400.4026481
"tun",1947,,1687.559252,38.5,324.767625
"gtm",1947,,2971.100287,45.4,303.1727057
"ury",1947,,7744.365473,47.4,98.38200509
"ukr",1947,,2971.278406,40,238.6522081
"kir",1947,,1618.743339,,264.2578377
"can",1947,,11693.89907,37.1,59.15650019
"uga",1947,,815.3822338,43.7,357.4909538
"gbr",1947,,10411.35742,34,53.31406036
"hkg",1947,,3245.537388,,
"ton",1947,,1337.355802,,140.860056
"wsm",1947,,2874.240824,,256.6931865
"lso",1947,,423.8462271,51.4,282.9935335
"isr",1947,,3448.47829,45,37.36168041
"blr",1947,,2114.932106,32.7,102.16
