"geo","time","pop","gdp_pc","gini","u5mr"
"mys",1969,10640347,3902.167006,50.8,58.5
"fra",1969,50466183,17339.05279,38.8,19.1
"ago",1969,6177703,5157.895126,52.3,268.5911375
"isl",1969,201941,13983.05487,,16.5
"atg",1969,64307,5665.538164,,58.15945851
"pol",1969,32571673,8331.479629,25.8,37.7
"bhs",1969,164250,23153.57003,,30
"pri",1969,2680190,14000.00526,,
"jpn",1969,102323674,10547.72164,35.3,18.5
"jor",1969,1553585,5181.611446,39.1,94.7
"zwe",1969,5036321,2120.69035,47.7,112.2
"png",1969,2371515,1636.477709,48.9,149.3
"sen",1969,4093763,1934.385312,41.1,294.4
"brn",1969,123875,72987.55892,,67.13901724
"lie",1969,20765,,,
"esp",1969,33558627,11649.92078,34.5,31.8
"dji",1969,149891,3668.27932,41.1,189.1475699
"deu_west",1969,59702499,,,
"grl",1969,44703,9432.109109,,
"twn",1969,14280667,4771.7741,,
"cxr",1969,1042,,,
"cmr",1969,6600479,2146.018674,47.5,222.4
"ecu",1969,5899842,5501.30781,38.1,141.4
"scg",1969,8613622,,,
"tuv",1969,7213,1707.591937,,
"grc",1969,8732308,11465.78148,40.6,40.1
"yem_north",1969,4847263,,,
"aia",1969,6344,,,
"lbr",1969,1383305,1446.351831,42.8,291.6
"ncl",1969,101494,,,
"vnm",1969,42309662,1058.874876,36.8,87.3
"ven",1969,11235492,14752.69384,46.8,64.3
"chl",1969,9377005,7364.008652,47.2,81.7
"vut",1969,82941,1656.232269,,113.2
"vir",1969,60675,,,
"com",1969,223629,1424.585493,50.1,226.0736207
"qat",1969,100697,125962.6933,43.7,71
"ussr",1969,240238082,,,
"mng",1969,1242213,1637.312542,40.1,203.4012787
"cod",1969,19458874,2159.828578,44.2,251.7
"abw",1969,58724,6226.675055,,
"blz",1969,119260,2435.008036,,101.3
"rwa",1969,3640591,641.7103899,47.3,214.7
"mnp",1969,12766,,,
"tkl",1969,1670,,,
"lux",1969,337565,29081.14459,28.6,23.6
"afg",1969,10849510,1178.471375,30.2,313
"kaz",1969,12897025,11114.60103,33.7,90.6428603
"scg_ex_kos",1969,6846608,,,
"mkd",1969,1698140,5978.122128,35.4,127.4835649
"and",1969,23061,30725.99389,,
"mrt",1969,1115790,2716.935574,47.6,197.5
"aut",1969,7473058,16742.51107,47.5,29.3
"sau",1969,5601649,34527.48885,42.4,187.5089661
"cck",1969,419,,,
"cog",1969,1296137,3056.689618,40.9,147
"vgb",1969,9620,,,
