"geo","time","pop","gdp_pc","gini","u5mr"
"tur",1965,31000167,5308.761272,58.1,215.4
"ltu",1965,2966947,11207.59333,30.2,32.28
"pan",1965,1314627,5127.935148,54.4,79.6
"phl",1965,30913931,2886.304836,51.4,92.4
"pry",1965,2170853,3256.223478,46.9,81.3
"alb",1965,1896125,3129.119825,25.3,120.0895895
"irn",1965,24955116,6768.104234,42.3,269.8471121
"bwa",1965,595741,1054.95786,44.9,148.7
"aus",1965,11368011,16601.49562,34.5,22.4
"lbn",1965,2092354,10544.59966,55.7,67.6
"stmar",1965,19924,,,
"gum",1965,74827,,,
"fsm",1965,52238,1573.24286,,109.8848168
"sgp",1965,1879571,6141.345019,41,35
"esh",1965,50969,,,
"msr",1965,11842,,,
"nru",1965,5738,30130.48036,,
"usa",1965,199403532,21361.09554,38,27.1
"tgo",1965,1708632,1639.778826,49.6,249.8
"gib",1965,23256,,,
"per",1965,11607684,6360.364075,58,192.3
"guy",1965,650379,3426.632869,43.4,78.5
"cub",1965,7951928,9115.921281,36.6,45
"irq",1965,8375791,7178.149201,55,147.7
"arg",1965,22283389,8817.833446,35.3,57.42939973
"idn",1965,100308896,1681.640166,41.5,193.9
"bgr",1965,8206564,6431.625471,22.3,45
"mne",1965,533815,8288.353349,37.1,69.56601026
"mex",1965,44623041,7282.755155,59.9,124.6
"dza",1965,12626953,5916.226578,40.2,248.2
"mhl",1965,17283,1934.502605,,105
"som",1965,3069558,1033.541211,42.4,259.9738297
"est",1965,1290437,8069.404094,29,29.98
"gin",1965,3877804,913.7327586,47.4,341.9
"nor",1965,3724065,18980.16333,36.7,19.7
"mda",1965,3335625,4342.14164,22,83.79014454
"uzb",1965,10233502,2753.157979,35.5,161.1931997
"grd",1965,94579,2369.730761,,98.79328779
"tca",1965,5669,2608.475812,,
"eri",1965,1589187,973.5906365,47.5,251.5901074
"geo",1965,4477328,3876.567804,37.4,83.68686906
"svn",1965,1629434,10230.69696,27.9,34.04311487
"wlf",1965,9223,,,
"arm",1965,2204650,2944.977277,47.5,63.58
"nzl",1965,2628003,18631.84109,29.7,23.1
"ant",1965,146530,,,
"hnd",1965,2352637,2702.794767,56.9,177.8
"pcn",1965,105,,,
"gbr",1965,54278349,15292.24357,27.7,23.4
"rus",1965,126483874,12362.53507,25.5,38.76682047
"cze",1965,9800931,12856.74023,26.9,29.05191781
"dom",1965,3878952,2586.47472,46.5,136
"kna",1965,49211,4043.20009,,
"tkm",1965,1890000,8308.658253,36,128.7550217
"mdv",1965,102723,1250.976206,,306.6
"sur",1965,331799,7828.944498,36.8,85.51407355
"bfa",1965,5174869,730.7002323,41.7,328
