"geo","time","pop","gdp_pc","gini","u5mr"
"syc",1967,48911,6051.008174,,84
"vgb",1967,9214,,,
"nga",1967,52468593,2665.823332,46.8,307
"aut",1967,7390853,15227.99968,47.5,30.5
"ner",1967,4144238,1447.893842,43.8,315.1
"spm",1967,5218,,,
"are",1967,171781,24651.55931,45.1,129.4
"btn",1967,266293,1031.224978,47,292.2381209
"mrt",1967,1052285,2591.642244,47.4,208.8
"civ",1967,4591238,3260.648634,49.4,260.6
"bhr",1967,196203,27726.1116,35,104
"chanisl",1967,117475,,,
"kos",1967,1424899,,,
"omn",1967,660117,8890.432734,40.9,267.5
"rou",1967,19810623,9189.808966,21.8,75
"swe",1967,7870642,19708.85577,26,14.9
"fji",1967,487911,3743.780274,46.6,57.3
"moz",1967,8668529,572.7744517,50,277.1
"bih",1967,3619997,2226.963137,37.6,95.38003395
"asm",1967,25116,,,
"tza",1967,12406040,1325.891615,44,224.1
"prk",1967,13221826,1645.770403,46.9,88.66538496
"prt",1967,8774391,8324.447954,43.4,77.7
"npl",1967,11307139,1020.242646,50.4,286.3
"ita",1967,52444751,13996.9728,41,37.8
"jey",1967,67520,,,
"fro",1967,37258,,,
"korea_union",1967,42759343,,,
"stbar",1967,2347,,,
"cri",1967,1694711,5093.87799,50,82.3
"chn",1967,744365635,718.964654,28.7,126.4191293
"sdn",1967,9299545,2021.682657,37.3,159.6
"cyp",1967,591304,7400.4119,35.3,36.3697903
"bmu",1967,50555,29965.44896,,
"sxm",1967,5362,,,
"pak",1967,53594445,1512.949321,34.5,203.8
"egy",1967,32456565,2376.837144,38.8,254.8
"nam",1967,718622,6165.468593,50.4,95
"che",1967,5991681,32565.58266,40.3,20.7
"yem_south",1967,1480779,,,
"col",1967,20311369,3892.637849,46,108
"mco",1967,23297,23170.2868,,
"syr",1967,5767478,2579.690822,42,124.4
"deu_east",1967,17268673,,,
"aze",1967,4832098,6457.594611,36,83.54013708
"nfk",1967,1775,,,
"swz",1967,411478,3323.707552,50.7,186.6
"nld",1967,12525253,16824.3277,31.3,17.4
"gha",1967,8057442,2208.122498,42.4,202.7
"bra",1967,88853679,4888.215191,55.3,143.9
"alb",1967,1998695,3359.074408,25.5,115.0924279
"bel",1967,9543533,16225.42907,39,26.2
"tur",1967,32448404,6019.55467,52.3,203.4
"bgd",1967,59625294,1121.864621,36.7,229.4
"eri_a_eth",1967,29690046,,,
"ind",1967,519162069,1095.565117,29.2,223.1
"pyf",1967,100031,,,
"gum",1967,78409,,,
"pan",1967,1393800,5633.764945,56.2,75.2
"bwa",1967,631276,1240.11866,45.8,140.6
"lca",1967,99526,2857.984007,,89.24786002
"ltu",1967,3038216,12023.55504,29.7,29.9
"hos",1967,767,,,
"lbn",1967,2174850,10319.61012,55.5,65.2
"plw",1967,11081,23517.18765,,
