"geo","time","pop","gdp_pc","gini","u5mr"
"lso",1987,1520244,1124.119654,61.5,90.4
"uga",1987,15668278,712.8714158,42.9,179.7
"ton",1987,94399,3793.266615,,24.1
"ala",1987,24043,,,
"hkg",1987,5564596,23920.3248,,9.664
"reu",1987,578933,,,23.886
"blr",1987,10113451,7896.054169,23.2,18.1
"brb",1987,257609,12827.72993,,20.4
"isr",1987,4215756,16870.59643,30.5,13.1
"cog",1987,2202106,5447.996887,44.1,93.7
"sen",1987,6846556,1874.999514,35.3,156.6
"isl",1987,246867,29335.26661,,7.1
"dji",1987,485565,3531.895189,41.4,128.3
"brn",1987,235980,81710.73456,,13.5
"jor",1987,2982349,9243.860247,37.2,40.9
"fra",1987,56005443,26963.12924,32.4,9.8
"zwe",1987,9535657,2299.228614,46.4,69.8
"esp",1987,38950965,20952.70065,35,12.3
"pol",1987,37867481,11206.76135,26.2,18.9
"pri",1987,3428846,22375.28905,,16.557
"jpn",1987,121021830,25017.84857,31.7,6.8
"png",1987,3865402,1760.296361,50.7,93.9
"ago",1987,10285712,4318.882589,56,226.9
"bhs",1987,243391,24817.71626,,26.5
"deu_west",1987,63026601,,,
"atg",1987,63484,14026.97626,,28.13800622
"mys",1987,16703500,8332.661316,47,19.4
"twn",1987,19763333,17577.67886,,
"yem_north",1987,8557177,,,
"chl",1987,12507488,7851.444184,56.2,21.9
"mac",1987,322655,33647.7469,,18.233
"ecu",1987,9504132,7189.024812,50.5,65.7
"grc",1987,9979755,19574.73513,34.5,15.3
"vut",1987,136129,2518.985423,,41.7
"vnm",1987,63881296,1374.040111,35.5,56.7
"scg",1987,9812981,,,
"cxr",1987,1732,,,
"tuv",1987,8821,1989.969807,,58.8
"cmr",1987,11031515,3525.738574,45.7,139.8
"lbr",1987,2196204,959.1959517,40.6,242.1
"ncl",1987,159180,,,36.179
"rwa",1987,6742390,953.4276073,41.4,150.1
"cod",1987,31721541,1517.098155,44.1,193
"mnp",1987,35904,,,
"com",1987,379589,1686.740901,50.8,137.6
"scg_ex_kos",1987,7801704,,,
"lux",1987,371079,46150.36162,27,10.2
"tkl",1987,1696,,,
"mng",1987,2033345,3572.865138,33.6,124.2
"vir",1987,104319,,,21.63
"abw",1987,61835,26876.22673,,22.755
"afg",1987,11337932,1230.044309,33.5,202.1
"qat",1987,423327,71067.14805,43.7,25.2
"blz",1987,174326,4083.385667,,47.7
"ussr",1987,282764875,,,
"kaz",1987,16167926,13165.88726,26.9,55.8
"btn",1987,500952,1948.382263,46.9,152.2
"cck",1987,533,,,
"vgb",1987,14595,,,
"mrt",1987,1865356,2822.34868,43.9,128.6
"civ",1987,10939987,3203.154972,40.4,151
"sau",1987,14642354,32135.8748,42.4,58.4
"mwi",1987,8108484,554.3687497,59.1,250.2
"mli",1987,8073178,1048.446178,52.3,271.3
"mar",1987,23560825,3576.253894,36.5,92.7
"aut",1987,7623700,28136.00257,23,11.1
"kwt",1987,1917950,47974.26953,39.3,20.6
"and",1987,48458,27931.51993,,
"mkd",1987,1994368,10717.23145,27.3,47.3
"gmb",1987,804134,1371.399438,59.4,189.9
"rou",1987,23312045,13470.96156,26.4,39.8
"moz",1987,13142516,404.6433323,42,247.8
"tza",1987,23204186,1420.421272,41.1,171
"prk",1987,19334550,2141.848742,46.9,35.2
"bih",1987,4491745,3470.669992,29.2,23
"asm",1987,42448,,,
"prt",1987,9912208,17189.1968,36.7,18.2
"npl",1987,17472138,1133.730321,38.1,162.3
"ssd",1987,5660153,2136.546487,36.02,267.3
"ita",1987,56980621,27303.98445,34.6,10.8
"fji",1987,721725,5159.559119,43.9,33
"cri",1987,2872214,6984.22726,44,19.3
"che",1987,6531160,42913.73053,30.7,8.8
"eth",1987,43470219,700.2022031,35,215.5
"yem_south",1987,2363426,,,
"sdn",1987,18130501,1871.411639,36,132.8
"srb",1987,9351938,16405.52457,35.7,36.2
"sxm",1987,23007,,,
"yem",1987,10542601,3524.405461,40.9,139.2
