"geo","time","pop","gdp_pc","gini","u5mr"
"lux",1961,317442,23004.6131,31.1,32.12825
"scg_ex_kos",1961,6372978,,,
"tkl",1961,1910,,,
"brb",1961,231674,5289.46953,,78
"afg",1961,9164945,1191.992311,34.3,356.5
"mng",1961,982180,1248.952559,43,226.8553065
"qat",1961,51355,19864.86283,43.7,127.0096973
"ussr",1961,217541795,,,
"rwa",1961,2996091,601.2811528,51.4,211.2
"kaz",1961,10411040,8680.044877,36,120.0165551
"mnp",1961,10340,,,
"com",1961,191828,1012.746032,48.8,313.2041555
"cod",1961,15637715,1947.776999,44.2,264.3638676
"reu",1961,345407,,,
"ton",1961,63740,1558.10102,,89.85065763
"and",1961,14376,16469.25007,,
"sau",1961,4218879,10683.73496,42.4,235.1973481
"mwi",1961,3700032,441.1135538,48.1,360.5
"mar",1961,12713043,1970.946674,48.7,234.5
"png",1961,2001048,1164.51711,48.1,194
"kwt",1961,294639,21553.67426,39.3,136.6
"mkd",1961,1507653,4158.710768,37.4,178.7068931
"mli",1961,5322267,754.2976299,43,469.4419302
"cog",1961,1039966,2535.486371,39.4,180.2
"gmb",1961,376736,1352.970965,45.8,356.3
"cck",1961,376,,,
"jor",1961,927850,4994.402214,39.8,147.3
"cxr",1961,831,,,
"cmr",1961,5474509,1808.161737,45.8,275.6
"prt",1961,8899331,5785.683454,48.3,110.3
"tuv",1961,6242,1579.695988,,
"prk",1961,11665593,1623.787354,46.9,121.6585529
"lbr",1961,1144896,1309.94123,43.8,316.4
"ssd",1961,3011112,2415.520554,38.68,357.1
"ita",1961,50067464,10972.98354,40,49.9
"fji",1961,407152,3508.309408,44.8,68.7
"mac",1961,175135,8024.851398,,
"ecu",1961,4676858,4473.535952,39.1,174.1
"vut",1961,65708,1493.765762,,151
"egy",1961,27810001,2105.362017,43,302.9
"abw",1961,55435,5112.387202,,
"gha",1961,6866545,2266.896361,41.2,208.6
"fro",1961,34730,,,
"stbar",1961,2187,,,
"hrv",1961,4222502,7915.620703,,84.60813897
"blz",1961,94701,2032.288462,,114.6971433
"nfk",1961,1744,,,
"bra",1961,74706888,4662.563232,52.5,167.1
"irl",1961,2816832,8296.808022,49.8,33.9
"cri",1961,1381920,4123.358771,50.7,102.673299
"che",1961,5393411,28620.86294,39.6,26
"chn",1961,654625069,558.395645,30.2,261.86
"eth",1961,22671131,668.2589966,44.9,278.5129426
"sdn",1961,7749884,2229.942127,38.7,175.2
"yem_south",1961,1422317,,,
"srb",1961,7613356,7057.437588,37.5,68.03002415
"vir",1961,35178,,,
"yem",1961,5251663,1451.661907,44,418.2
"syr",1961,4742596,2210.015068,42.4,170.4
"chanisl",1961,110399,,,
"pyf",1961,80706,,,
"syc",1961,42402,5520.247007,,100.5
"mrt",1961,883223,1940.690788,49.1,249
"spm",1961,4951,,,
"aut",1961,7105654,12584.40005,47.6,40.2
"vgb",1961,8157,,,
"tls",1961,508311,697.8923634,44.8,342.7824655
"nga",1961,46144154,3551.468182,52.7,334.1241767
"btn",1961,229297,963.0692468,47,332.6299577
"hos",1961,904,,,
"civ",1961,3602075,2750.654454,46.2,302.9
"bhr",1961,167924,22941.39394,35,183.1
"ner",1961,3493636,1248.258354,36,320.3188227
"are",1961,100985,2019.418064,45.1,193.8
"eri_a_eth",1961,26294813,,,
"bgd",1961,49593610,1086.796451,36.6,257.5
"mlt",1961,311702,2860.132775,,39.1
"npl",1961,10215153,984.2248939,48.9,323
"moz",1961,7643290,533.1330628,49.8,291.0111771
"jey",1961,63615,,,
"kos",1961,1348203,,,
"omn",1961,564895,4610.521707,40.9,359.1
"yug",1961,18316990,,,
"cym",1961,8026,16366.91844,,
"rou",1961,18780105,6428.775828,22.6,85.89067797
"swe",1961,7527081,15998.41747,39.7,19.2
"tza",1961,10373380,1034.938152,48.2,241.4
"bih",1961,3277096,1857.636539,40.2,143.9096107
"asm",1961,20478,,,
"sle",1961,2210169,1316.906861,53.7,390.3
"nam",1961,617282,4618.357973,51.8,140.3970946
"mco",1961,22812,17876.21134,,
"cyp",1961,576395,5820.404319,37,37.18275075
"aze",1961,4030130,5285.285431,37.5,104.7366831
"mtq",1961,288483,,,
"lao",1961,2169287,1249.421972,35.7,248.1733827
"gbg",1961,47332,,,
"korea_union",1961,36259675,,,
"col",1961,16982313,3592.12143,59.2,124.6
"gab",1961,504174,1637.682516,56,265.7225683
"bmu",1961,45834,21330.79158,,
"sxm",1961,3080,,,
"pak",1961,45988447,1230.937361,34.6,251.6
"deu_east",1961,17655756,,,
"lka",1961,10129134,1768.984128,41.9,96.4
"lva",1961,2158546,5661.024072,31.6,34.65
"swz",1961,357522,1986.012037,48.5,208
"nld",1961,11576024,13448.04412,44.2,20.3
"dma",1961,61035,2430.994963,,127.2
"plw",1961,9901,16819.57579,,
"slb",1961,121403,1131.558338,46.5,185.6
"pry",1961,1953331,2986.713347,45.3,84.3
"alb",1961,1685901,2744.07656,24.8,130.7439375
"tur",1961,28229291,4690.642073,56,242.3
"ltu",1961,2807763,9878.995149,31.4,45.3
"aus",1961,10494911,14125.86323,34.9,24.3
"lbn",1961,1864605,9241.643651,56.2,75.1
"bel",1961,9200393,13122.31478,39.7,32.4
"gum",1961,68073,,,
"pan",1961,1167041,4273.767786,50.7,89.5
"bwa",1961,536576,988.7456389,44.3,165.7
