"geo","time","pop","gdp_pc","gini","u5mr"
"gbr",1951,50620538,11416.32105,29.3,35.1
"ant",1951,113954,,,
"nzl",1951,1947802,13031.62241,34.1,34.8
"geo",1951,3584698,2320.288726,41.7,122.8397063
"wlf",1951,7088,,,
"rus",1951,104306354,7424.231602,33.4,85.27113841
"kna",1951,46139,3430.42481,,
"tkm",1951,1228378,4960.679271,39,192.1628489
"arm",1951,1382982,1834.006955,43.3,108.04
"cze",1951,9005036,8165.782501,23.9,76.14778533
"tca",1951,4984,1966.651911,,
"dom",1951,2438412,2241.826647,42.7,155.1
"svn",1951,1481637,5281.509179,33.8,83.71845233
"mdv",1951,74224,904.2363269,,359.2112241
"sur",1951,222679,5664.072097,33.4,149.4939718
"eri",1951,1162658,797.6955082,47.5,333.6155987
"hnd",1951,1524974,2460.153573,42.9,264.757702
"pcn",1951,133,,,
"gnq",1951,230057,507.2601498,50.5,348.4254594
"ben",1951,2258049,1225.906693,40.6,345.1
"niu",1951,4682,,,
"cpv",1951,186124,784.3639803,47.6,216.6930667
"smr",1951,12918,8661.726294,,
"tjk",1951,1576454,2431.248241,42,210.4460185
"stp",1951,59203,1198.352624,,232.1396285
"tcd",1951,2544102,1253.999476,39.6,321.7671309
"bfa",1951,4324493,537.4033709,38.7,387
"hun",1951,9478110,6438.501036,26.4,102.9156004
"dnk",1951,4308324,12003.89951,37.1,33.4
"guf",1951,26246,,,
"mdg",1951,4167827,1956.476613,38.2,301.9064605
"glp",1951,213055,,,
"slv",1951,2236577,3387.3,41.2,238.9879961
"bdi",1951,2359234,525.0577544,42.3,298.3711381
"lby",1951,1131590,5670.648446,38.8,365.3192428
"zaf",1951,13993888,7315.50252,62.2,252.1965198
"tto",1951,658830,5208.567885,44.6,100.4592191
"kor",1951,19304737,753.1340518,30.3,330
"jam",1951,1436851,2871.850737,41.8,129.7066614
"deu",1951,70111671,7883.778459,45.2,59.03227046
"gtm",1951,3237922,3082.702439,46.7,272.5430237
"tun",1951,3696457,1731.532483,39.1,299.7487394
"kir",1951,33627,1816.311274,,258.7688524
"svk",1951,3509957,6007.188467,30.6,138.5433309
"can",1951,14099994,12419.37478,36.1,46.2
"shn",1951,5010,,,
"khm",1951,4539656,1113.781112,45.4,287.0611197
"gnb",1951,544103,867.253703,38.3,281.9257719
"flk",1951,2247,,,
"ukr",1951,37815815,3927.3215,39.6,91.42075145
"fin",1951,4049689,7737.743585,34.3,42
"ury",1951,2261342,8573.131653,45.5,64.56991313
"reu",1951,259293,,,
"uga",1951,5308673,771.741214,44.2,292.0727739
"ala",1951,21618,,,
"brb",1951,215704,3149.15156,,218.0244564
"blr",1951,7717708,2781.18423,33.4,87.45638029
"hkg",1951,2036150,3494.248718,,
"ton",1951,49311,1397.189932,,135.8687647
"isr",1951,1354097,4435.296982,45,52.60671907
"wsm",1951,84439,3010.626524,,250.7886442
"lso",1951,744320,441.5178344,51.6,244.3469646
"nic",1951,1331740,3651.095144,54.9,247.3748035
"esp",1951,28237323,4369.171773,35.8,101.8
"pol",1951,25264029,4801.206836,23.3,177.0068086
"tha",1951,21263203,1206.182665,39.2,202.7
"dji",1951,63309,3248.466883,40.7,281.8558425
"jpn",1951,83794452,2727.857578,35.5,82.6
"hti",1951,3275368,2277.57368,42.5,334.5298535
"zwe",1951,2830449,1536.831757,47.2,201.966407
"mys",1951,6261916,2714.704945,41.5,155.6692847
"sen",1951,2529699,1783.736467,40.3,340.8
"fra",1951,42071027,8301.32264,56.1,53.4
