"geo","time","pop","gdp_pc","gini","u5mr"
"kaz",1847,,1389.675482,43.3,497.41
"ton",1847,,728.2186468,,308.048339
"lux",1847,,2004.734492,33.5,357.45
"afg",1847,,662.5040694,30.5,475.67
"mng",1847,,621.5013184,41.2,420.04
"cod",1847,,588.3833694,42.1,422.65
"qat",1847,,1308.074601,43.9,433.13
"rwa",1847,,457.4954952,59,420.04
"brb",1847,,1098.912436,,554.2276238
"com",1847,,730.0474357,40.7,416.16
"mwi",1847,,352.368058,45.7,439.79
"mli",1847,,609.9089669,47.2,494.48
"kwt",1847,,1308.074601,43.9,500.35
"aut",1847,,2815.145867,37.8,403.3670247
"and",1847,,1708.14953,,
"sau",1847,,886.5232192,45.7,416.16
"cog",1847,,656.4807443,47.6,408.51
"gmb",1847,,836.4720691,46,460.21
"mar",1847,,751.504743,62.6,403.44
"png",1847,,600.4129988,25.8,423.95
"mkd",1847,,862.8668416,32.5,389.7211507
"tuv",1847,,789.767511,,
"ssd",1847,,579.5639737,33.78,490.08
"ita",1847,,2412.385615,51.5,450.6
"fji",1847,,862.7272269,46.8,498.88
"bih",1847,,769.3997276,36.5,378.8
"cmr",1847,,715.355472,47.2,460.21
"prt",1847,,1697.270847,35.6,372.81
"ecu",1847,,630.739496,42.8,405.96
"prk",1847,,551.8135601,47.6,500.35
"lbr",1847,,859.3004314,42.4,429.16
"mac",1847,,1090.688872,,
"cri",1847,,1051.009531,46.6,441.12
"sdn",1847,,592.1742798,33.8,425.25
"bra",1847,,1177.698892,38.8,417.44
"srb",1847,,1697.929347,32.5,374
"yem",1847,,1001.630833,62.6,540.44
"egy",1847,,898.3864155,62.6,404.69
"irl",1847,,1625.306914,31.1,443.79
"chn",1847,,986.0989703,37.7,417.44
"eth",1847,,529.0566396,47.5,447.88
"abw",1847,,1001.775176,,
"gha",1847,,722.4859547,44.5,471.38
"hrv",1847,,1683.490467,,366.84
"blz",1847,,696.1974233,,333.8071514
"syr",1847,,1121.453064,62.6,429.16
"che",1847,,3600.071363,48.8,344.77
"syc",1847,,953.5373166,,294.6735617
"bel",1847,,3245.844248,53.7,304.51
"are",1847,,1189.158728,44.1,434.46
"bgd",1847,,877.790698,41.8,507.88
"btn",1847,,665.722822,47.4,445.5612566
"civ",1847,,980.4020696,40.9,427.86
"ner",1847,,509.6515583,43.3,433.13
"mrt",1847,,602.6717413,48.6,417.44
"tls",1847,,571.6655158,40.1,452.1324706
"nga",1847,,997.546334,48,438.46
"bhr",1847,,1511.740327,43.4,439.79
"swe",1847,,1662.686044,58.9,270.15
"sle",1847,,838.5337955,52.7,513.91
"npl",1847,,658.6496046,41,407.24
"mlt",1847,,1003.786447,,243.1639305
"moz",1847,,401.2625597,47.2,439.79
"omn",1847,,1027.165219,44.8,413.61
"rou",1847,,1183.142689,47.8,371.61
"cym",1847,,1249.935412,,
"tza",1847,,606.0635183,37.6,414.89
"cyp",1847,,1177.716524,36.2,339.12
"gab",1847,,393.0057681,45.9,435.79
"bmu",1847,,1476.455553,,
"pak",1847,,1022.824871,28.7,501.85
"nam",1847,,810.5860427,52.6,412.34
"swz",1847,,559.3397468,54.2,413.61
