"geo","time","pop","gdp_pc","gini","u5mr"
"khm",1853,,951.4403148,43,379.99
"gtm",1853,,1124.277159,35.3,503.36
"ury",1853,,3822.836207,48.1,405.96
"ven",1853,,791.6401293,43.9,414.89
"can",1853,,2261.493382,29.3,309.38
"chl",1853,,1395.037583,64.2,417.44
"grl",1853,,560.7200393,,
"vnm",1853,,844.0836719,40.4,417.44
"kgz",1853,,680.6258744,46,378.876277
"fin",1853,,1535.940276,50.6,366.84
"kir",1853,,577.3336089,,373.2389267
"grc",1853,,1836.814265,49.9,360.97
"mng",1853,,627.817444,42.2,420.04
"rwa",1853,,460.986094,59,420.04
"afg",1853,,676.1341553,33.4,475.67
"com",1853,,734.5134896,41.7,416.16
"cod",1853,,603.1551811,42.1,422.65
"ton",1853,,743.1855444,,293.8810573
"brb",1853,,1144.226479,,566.0511468
"zwe",1853,,926.1865633,34.6,395.95
"mli",1853,,611.1384133,47.2,494.48
"mar",1853,,759.4152537,60.9,403.44
"png",1853,,612.7531385,28.7,423.95
"sau",1853,,893.089405,45.8,416.16
"kwt",1853,,1337.749644,43.8,500.35
"mkd",1853,,894.6697533,32.5,388.8266052
"pol",1853,,1484.462913,34.8,369.21
"jpn",1853,,1137.845356,45.8,363.32
"mwi",1853,,352.6822671,45.7,439.79
"mys",1853,,1069.852499,27.6,435.79
"gmb",1853,,839.5311207,46.2,460.21
"jor",1853,,1120.355565,42.1,421.34
"ago",1853,,779.3907109,39.5,485.68
"and",1853,,1833.648179,,
"brn",1853,,1695.948827,,454.69
"cog",1853,,667.7161935,46.8,408.51
"lbr",1853,,873.2393163,43,429.16
"fji",1853,,880.458646,46.7,498.88
"tuv",1853,,805.9994071,,
"ita",1853,,2350.053579,50.6,450.6
"twn",1853,,1003.834569,,
"mac",1853,,1113.105531,,
"ecu",1853,,655.3872754,43.4,405.96
"ssd",1853,,596.5936145,33.78,490.08
"cmr",1853,,736.3751475,45.3,460.21
"vut",1853,,656.6979493,,316.6187956
"abw",1853,,1043.08373,,
"hrv",1853,,1745.539321,,366.84
"blz",1853,,724.905371,,319.7837713
"qat",1853,,1337.749644,43.8,433.13
"kaz",1853,,1444.60581,43.3,497.41
"irl",1853,,2321.909547,31,348.22
"srb",1853,,1760.510379,32.5,374
"lux",1853,,2152.064731,34.4,357.45
"yem",1853,,1018.7852,60.3,540.44
"eth",1853,,530.1556382,47.5,447.88
"bhr",1853,,1584.372042,43.1,439.79
"nga",1853,,1025.135188,46.4,438.46
"btn",1853,,673.6283025,47.5,443.3388473
"syc",1853,,976.469289,,279.4305108
"civ",1853,,1004.224021,41.5,427.86
"aut",1853,,2995.082053,36.1,368.92
"ner",1853,,524.6269248,43.3,433.13
"are",1853,,1216.13604,44,434.46
"mrt",1853,,620.38037,48.5,417.44
"bgd",1853,,878.5900445,43.1,507.88
"omn",1853,,1053.085791,44.8,413.61
"rou",1853,,1284.298213,47.8,371.61
"swe",1853,,1740.288318,57.9,257.44
"npl",1853,,659.2199556,41,407.24
"moz",1853,,402.6640998,47.6,439.79
"tza",1853,,615.8947184,37.6,414.89
"prk",1853,,548.4663657,47.9,500.35
"bih",1853,,782.5831504,37.8,378.8
"prt",1853,,1755.281375,36.2,372.81
"cyp",1853,,1264.268264,37.1,339.12
"gha",1853,,725.9535736,44.9,471.38
"lao",1853,,937.9690439,38.4,418.74
"aze",1853,,934.2337502,39.9,344.5207119
"lva",1853,,951.6733762,48.9,404.69
"chn",1853,,1011.381591,37,457.41
"nld",1853,,4530.988128,49.7,293.12
"bra",1853,,1157.396125,39.1,417.44
