"geo","time","pop","gdp_pc","gini","u5mr"
"plw",1941,,5495.082383,,
"bgd",1941,,1182.71646,37.7,334.3604874
"pan",1941,,3336.660838,41,252.1194574
"lca",1941,,1348.958156,,191.7544855
"tls",1941,,679.9083575,48.4,418.0341778
"lbn",1941,,5865.268636,51.4,371.346372
"slb",1941,,809.2378435,47.1,458.6461724
"bhr",1941,,6177.999118,36.1,349.5904304
"syc",1941,,3471.675705,,128.3030272
"bel",1941,,6030.308451,43.9,103.62
"ner",1941,,891.1458225,41.8,395.1918374
"tur",1941,,2851.01577,54.9,369.0941379
"are",1941,,1227.464175,44.8,395.6164354
"ind",1941,,1079.146037,34.7,257.3752819
"usa",1941,,13239.32109,45.8,58.00392413
"mus",1941,,2170.15277,42.2,214.6209594
"guy",1941,,3679.442208,42,158.8698378
"cym",1941,,6741.872617,,
"omn",1941,,2569.96951,41.5,401.2139192
"mlt",1941,,2377.649271,,68.09082997
"swe",1941,,8277.81525,41,49.66445464
"sle",1941,,1096.449036,45.8,469.9082617
"dma",1941,,1883.739634,,
"caf",1941,,1055.222425,45.8,420.3321421
"lva",1941,,2898.583121,37.5,134.83
"lao",1941,,1124.237539,40.1,371.463592
"est",1941,,3635.099597,37.5,129.21
"lka",1941,,1853.789531,47.3,230.1583902
"mhl",1941,,1107.304987,,
"nld",1941,,7327.194936,44.3,56.82708446
"gin",1941,,596.4411559,43.3,359.6
"cyp",1941,,3410.968983,40.4,187.21
"gab",1941,,584.9044317,45.2,396.6589992
"bmu",1941,,7993.498581,,
"pak",1941,,1358.123052,39.3,403.6132653
"nam",1941,,3339.985349,42.9,362.7047392
"pry",1941,,3338.275724,41.2,210.1152793
"bwa",1941,,777.5504259,41.6,354.2779115
"phl",1941,,2256.16761,49.2,252.7824566
"ltu",1941,,4982.339758,37.5,133.41
"irn",1941,,3134.324033,44.5,429.3061312
"arm",1941,,1413.195786,41.6,152.2430357
"alb",1941,,1806.586157,24.6,235.9559419
"eri",1941,,761.2944239,47.7,402.8881795
"aus",1941,,11069.0317,39.4,53.40953285
"fsm",1941,,972.90174,,177.5661353
"nzl",1941,,10386.93512,36.8,48.29945791
"tgo",1941,,1046.836899,39.1,382.1761879
"mdg",1941,,1591.144237,40.9,378.2603235
"arg",1941,,7041.803948,41.6,122.3199168
"cpv",1941,,791.7205344,47.6,301.2564541
"smr",1941,,5153.402691,,
"zmb",1941,,2017.272373,41,376.934746
"nru",1941,,2978.44916,,
"ken",1941,,1657.366055,64.9,437.9208006
"tcd",1941,,1052.309206,41.8,388.5129068
"vct",1941,,2004.172975,,207.0871389
"deu",1941,,10310.36239,46.3,84.23752349
"sgp",1941,,5259.687843,41.2,255.2664
"bfa",1941,,528.8099774,39.8,413.4022205
"irq",1941,,2612.201228,56.8,387.3229139
"cub",1941,,6198.016056,37.3,106.2153743
"kor",1941,,1339.742708,31.1,291.0118932
"per",1941,,3853.53997,58.2,328.4056208
"dza",1941,,3537.832236,40.3,364.3801706
"mda",1941,,2030.33436,26,169.8992478
"uzb",1941,,1300.740932,41.5,243.5610434
"nor",1941,,8518.543267,40.7,55.29982348
"tun",1941,,1584.544322,38.2,364.4439863
"ukr",1941,,2933.153588,40.6,470.3354913
"som",1941,,936.5361245,44.6,411.13
