"geo","time","pop","gdp_pc","gini","u5mr"
"bwa",1813,,397.9772648,35.6,397.2
"nzl",1813,,659.7553297,38.2,390.99
"aus",1813,,839.3514566,41.3,390.99
"irn",1813,,978.9934863,57.7,506.38
"arm",1813,,514.6815809,29.1,364.9417135
"pry",1813,,836.6946482,54.1,374
"ltu",1813,,1289.639238,48.9,458.81
"eri",1813,,533.0350711,45.5,441.12
"phl",1813,,963.9948914,32.5,431.79
"alb",1813,,668.6821136,41.2,375.2
"fsm",1813,,521.9651011,,413.4930546
"mdg",1813,,573.8685356,41,437.13
"slv",1813,,976.2628814,51.6,461.6
"zaf",1813,,1482.522586,35.9,398.45
"kor",1813,,568.2112847,32.1,503.36
"zmb",1813,,684.4749379,39.9,409.79
"arg",1813,,1510.296036,47.1,402.19
"tcd",1813,,418.9336141,50.6,431.79
"smr",1813,,1434.606381,,
"nru",1813,,554.9275829,,
"sgp",1813,,1023.332047,41,456.05
"cub",1813,,1004.701658,37.2,390.99
"vct",1813,,839.5645296,,430.3042636
"bfa",1813,,480.538382,37.5,454.69
"per",1813,,1206.133539,57.4,371.61
"ben",1813,,597.7919832,48,430.46
"tgo",1813,,683.7636254,37.8,426.55
"ken",1813,,889.0047594,46.3,507.88
"irq",1813,,971.6243512,57.7,427.86
"deu",1813,,1796.215026,53,340.25
"cpv",1813,,530.2320035,50.2,394.71
"idn",1813,,996.2571413,51.7,443.79
"bgr",1813,,1091.063929,47.8,363.32
"dza",1813,,728.0743785,57.7,460.21
"som",1813,,702.2077151,50.9,451.96
"grd",1813,,960.3755017,,429.2719505
"svk",1813,,1429.516779,34.9,363.32
"mex",1813,,1381.681474,40.1,487.15
"gnb",1813,,778.6331542,49.8,417.44
"bol",1813,,855.2549693,36.9,404.69
"nor",1813,,1304.969274,43.7,335.73
"tun",1813,,717.1107968,57.7,460.21
"ukr",1813,,774.8111607,45.6,360.97
"mda",1813,,622.1803288,47.8,387.3307515
"mne",1813,,1059.466205,31.9,375.2
"uzb",1813,,503.240272,44.4,381.1650377
"mmr",1813,,841.6892161,30.5,433.13
"tca",1813,,487.5006964,,
"gbr",1813,,3423.213071,59.3,308.32
"wsm",1813,,1402.869642,,444.4248341
"hkg",1813,,1008.734933,,
"mdv",1813,,844.1294877,,449.1986364
"cze",1813,,1919.085616,34.9,379.99
"dom",1813,,668.2972983,41,445.15
"sur",1813,,1639.494111,33.5,405.96
"svn",1813,,1411.320962,27.7,360.97
"rus",1813,,1452.283342,57.9,418.74
"kna",1813,,1166.744147,,
"geo",1813,,543.9796161,29.7,386.1482386
"tkm",1813,,957.4633117,41.4,494.5491115
"hnd",1813,,675.8588206,59.2,393.46
"blr",1813,,612.1077051,57.9,365.67
"atg",1813,,758.23608,,426.1600075
"gnq",1813,,361.7474141,46,446.51
"pse",1813,,1222.780516,35.5,435.0763826
"dnk",1813,,2061.897665,61,365.67
"isl",1813,,928.1272503,,412.34
"stp",1813,,870.9950753,,424.8120483
"dji",1813,,783.5976619,42.1,445.15
"lby",1813,,1051.792417,44.5,404.69
"hti",1813,,634.5494334,42,486.2620692
"tto",1813,,1232.525918,44.6,405.96
