"geo","time","pop","gdp_pc","gini","u5mr"
"tls",1953,448894,690.7927511,47.4,404.6645065
"bwa",1953,448437,877.4994907,43.2,213.2704287
"lbn",1953,1434845,8274.043273,54.5,115.7409237
"eri_a_eth",1953,22686380,,,
"plw",1953,7797,10754.5521,,
"lca",1953,85493,1595.594362,,175.0834168
"ltu",1953,2591999,7213.376878,33.7,86.88659827
"hos",1953,889,,,
"alb",1953,1348097,2048.276746,23.7,154.9708001
"tur",1953,22999018,4360.828925,52.3,286.5
"ind",1953,395137696,946.6168209,32.6,279.5
"slb",1953,96561,989.7464799,46.5,228.9644417
"bel",1953,8770196,11037.87344,44.3,51.2
"gum",1953,61471,,,
"pan",1953,928713,3263.77041,43.4,112.3
"sjm",1953,1546,,,
"mus",1953,537048,2518.220203,41.4,138.2655476
"gib",1953,20879,,,
"mlt",1953,313505,2653.464941,,57.87847388
"sgp",1953,1178074,3962.914436,45,84.8
"guy",1953,452260,4001.137599,41.9,135.9
"msr",1953,14627,,,
"cheslo",1953,12818348,,,
"nru",1953,3335,6496.290428,,
"irq",1953,6216130,4678.033449,61.8,303.1
"yug",1953,16932116,,,
"usa",1953,164941716,16973.78179,38.5,34.7
"sle",1953,2005162,1140.484906,48,425.5169012
"gbm",1953,54258,,,
"esh",1953,18727,,,
"cub",1953,6304524,8192.198095,36.5,48.26
"tgo",1953,1452091,1080.202051,41.3,309
"lka",1953,8489249,1814.340194,37.7,129.8
"gab",1953,479237,831.4112215,58,311.5463244
"mtq",1953,233265,,,
"som",1953,2397067,1069.671914,43.5,343.328341
"est",1953,1136906,5227.890669,33.5,71.93190805
"grd",1953,78103,1798.873927,,147.3628227
"mex",1953,30634216,4522.018912,54.6,192.3237831
"mhl",1953,13626,1464.041696,,
"akr_a_dhe",1953,10889,,,
"uzb",1953,7428993,1813.772659,38.5,198.1424706
"gin",1953,3228112,669.2503101,42.4,362.7
"bgr",1953,7418765,3485.712276,23.9,121.1
"caf",1953,1367805,1298.564022,47.7,348.5330565
"fsm",1953,35694,1237.567033,,158.2271152
"arm",1953,1463017,1958.231704,43.9,102.27
"pry",1953,1590497,2860.516611,42.1,92.27992179
"aus",1953,8821938,12227.81458,33,29.5
"nzl",1953,2040015,13388.31446,33.3,33
"pcn",1953,138,,,
"mdv",1953,76483,947.2383467,,352.2243273
"geo",1953,3710132,2492.828665,41,116.7645154
"wlf",1953,7420,,,
"phl",1953,20670541,2189.882543,45.9,141.4
"eri",1953,1208141,837.8340861,47.5,328.5876976
"irn",1953,18368896,3716.718769,49.5,309.555307
"cze",1953,9200240,8216.907471,25.1,47.46032378
"stmar",1953,17879,,,
"tca",1953,5016,2047.730858,,
"myt",1953,17246,,,
"ken",1953,6593123,1745.35474,69.4,286.9
"lby",1953,1175887,5936.016349,38.8,364.9112361
"tcd",1953,2636785,1310.057996,38.5,313.7499276
"zaf",1953,14665139,7434.681672,54,237.4132506
"deu",1953,70720721,9252.133318,42.3,54.98018821
"vct",1953,70594,2376.386062,,184.1306484
"bfa",1953,4413203,562.9149936,39.8,380.4
"mdg",1953,4348239,2040.5651,39.4,288.0108495
"bdi",1953,2445836,545.9626134,41.7,284.2256215
"kor",1953,19979069,1051.317737,30.3,238.3
"per",1953,8340379,4842.58711,56,293
"slv",1953,2324558,3683.325227,42.9,223.1170104
"arg",1953,18224150,7198.102359,43.3,85.65982538
"cpv",1953,194839,794.6988219,47.7,213.7949743
"gnq",1953,234512,531.2427961,50.5,339.8492698
"dnk",1953,4379141,12600.89286,37.7,31.6
"smr",1953,13288,9609.12079,,
"ben",1953,2274130,1147.990158,40.9,339
"zmb",1953,2504147,2913.166237,42.9,239.4
"gnb",1953,559688,934.6770224,39.3,281.5415796
