"geo","time","pop","gdp_pc","gini","u5mr"
"vut",1952,50295,1329.433649,,182.6
"vnm",1952,25976838,1009.040919,40.2,158.3063688
"ncl",1952,64441,,,
"scg",1952,7281202,,,
"lbr",1952,957864,1247.191541,44.9,320.9015037
"twn",1952,8550333,1894.582036,,
"cxr",1952,645,,,
"yem_north",1952,4324445,,,
"cmr",1952,4623471,1516.591375,40.6,369.6177757
"mac",1952,193743,4307.283726,,
"ecu",1952,3655012,3742.478503,40.1,228.5420263
"tuv",1952,5294,1446.749281,,
"scg_ex_kos",1952,5802962,,,
"tkl",1952,1504,,,
"blz",1952,73428,1892.336242,,154.2741935
"srb",1952,6963396,4172.541215,35.9,86.51343122
"lux",1952,299499,18535.28504,33.9,75.17462072
"mng",1952,807926,919.0487632,46.3,256.487235
"abw",1952,38965,4093.96269,,
"vir",1952,27974,,,
"rwa",1952,2313306,550.5342377,45.8,269.2613077
"com",1952,163553,846.4632773,38.8,293.6758219
"qat",1952,29843,2486.074046,43.7,163.5896448
"ussr",1952,185831282,,,
"kaz",1952,7041605,6189.152872,38.6,158.2884002
"cod",1952,12680934,1845.41756,44.3,285.9620675
"eth",1952,18819634,593.2254859,43.2,349.7064666
"aut",1952,6929289,7386.298906,39.7,59.54
"cck",1952,333,,,
"btn",1952,186160,868.8479828,47.1,398.4216959
"mli",1952,4811198,671.7113881,42.1,467.4524871
"mar",1952,9529540,2096.569958,40.6,278.3028287
"gmb",1952,276771,1034.304233,46.1,397.1488079
"spm",1952,4634,,,
"and",1952,7250,8162.897748,,
"mkd",1952,1320984,2376.963944,39.7,175.9125182
"mrt",1952,691807,1263.872612,49.3,306.3
"vgb",1952,7561,,,
"nga",1952,39049831,2971.233068,49.4,363.3967739
"civ",1952,2758455,2137.612643,39.5,360.8707183
"bhr",1952,119689,17391.44255,35,305.9292142
"asm",1952,19543,,,
"prt",1952,8473628,4002.211106,41.2,143.7
"fji",1952,304813,2868.99849,41.9,116.9
"moz",1952,6503106,463.5641948,42.5,382.0911254
"tza",1952,8055911,1041.627587,43.8,260.3
"prk",1952,10049026,783.9172008,46.9,321.9291043
"jey",1952,58079,,,
"ssd",1952,2624563,1996.895939,40.79,379.274499
"ita",1952,47398599,7022.520862,42.8,75.4
"bih",1952,2763298,1174.480297,44,177.5260425
"kos",1952,1227616,,,
"npl",1952,8823022,839.9553049,46.7,339.3
"rou",1952,16764920,4201.964347,24.1,158.3550033
"sxm",1952,1799,,,
"fro",1952,31218,,,
"mco",1952,19077,12110.58163,,
"swz",1952,285338,1436.994263,45.2,234.2
"sdn",1952,6039086,1880.83286,40.8,213.9713332
"cyp",1952,506627,4058.107001,39.5,72.89764842
"gha",1952,5191221,1633.702623,41.1,244.9
"nfk",1952,1699,,,
"stbar",1952,2222,,,
"korea_union",1952,29830665,,,
"irl",1952,2924222,6606.973334,44.8,49.5
"cri",1952,1015875,3179.344225,49.2,141.62381
"che",1952,4788958,21378.98592,39.3,35.8
"chn",1952,570764965,631.1065283,50.7,306.3907938
"bra",1952,57304772,3190.577145,37.9,215.8366162
"yem_south",1952,1338923,,,
"col",1952,13064689,3237.847242,52.3,170.0037918
"hrv",1952,3922675,4548.701493,,112.1371625
"aze",1952,3045429,3764.670537,39.6,137.4513476
"yem",1952,4546100,1377.13569,44.4,500.3870686
"syr",1952,3595227,2074.289123,43.1,282.3560503
"egy",1952,21904478,1817.795639,42,365.9845062
"eri_a_eth",1952,22304326,,,
"plw",1952,7620,10169.60218,,
"bgd",1952,39493326,1045.701923,37.4,332.7
"hos",1952,884,,,
"bel",1952,8721192,10687.96242,42.1,51.25
"pan",1952,904387,3149.282782,42.5,115.6
"syc",1952,37438,5186.320313,,116.1
"tur",1952,22393931,3962.590756,52.2,293.197913
"lca",1952,84763,1530.455103,,178.1098263
"lbn",1952,1392725,7284.23606,54.2,126.8104472
"tls",1952,443346,689.896232,47.7,410.8261814
"slb",1952,94079,973.2998699,46.5,234.1230988
"ner",1952,2717047,1010.633829,36.7,338.7500044
"are",1952,69813,1240.034722,45.1,258.0009538
"ind",1952,388515758,912.3049035,34.6,275.5155511
"chanisl",1952,103653,,,
"pyf",1952,63869,,,
"msr",1952,14489,,,
"sjm",1952,1512,,,
"mlt",1952,313192,2629.367207,,58.66756111
"usa",1952,162280405,16508.26683,38.8,35.6
"gbm",1952,54906,,,
"omn",1952,469350,3292.91763,40.9,397.5907171
"guy",1952,435850,4102.715583,41.9,143
"yug",1952,16721448,,,
"cym",1952,6245,10983.18063,,
"cheslo",1952,12678286,,,
"mus",1952,521190,2511.596888,41.5,115.3533306
"swe",1952,7125539,12132.8329,39.7,24.4
"sle",1952,1983321,1118.60661,47.2,428.2916661
"lka",1952,8338783,1838.220722,41.1,132.5
"caf",1952,1353470,1272.381618,46.9,359.1064501
"mtq",1952,228268,,,
"est",1952,1125245,5094.461473,33.9,77.81265663
"pak",1952,38485341,1090.528232,37.5,371.5
"gbg",1952,45720,,,
"mhl",1952,13436,1430.397181,,
"nam",1952,504552,3901.028042,43.6,246.7661133
"deu_east",1952,18252710,,,
