"geo","time","pop","gdp_pc","gini","u5mr"
"guf",1957,29621,,,
"isl",1957,164721,10295.2325,,22.9
"deu_west",1957,53365605,,,
"hti",1957,3647806,2221.598135,48.3,306.7
"brn",1957,70465,60541.25525,,114.5527356
"atg",1957,53411,4213.294259,,100.3396873
"tha",1957,25096792,1273.921309,41.7,164.3
"pri",1957,2278956,7107.199684,,
"jam",1957,1577372,5057.21156,41.6,97.1
"nic",1957,1610819,4579.850372,47.1,205.8
"jpn",1957,90084818,3842.942904,35.6,50.3
"pol",1957,28297669,5730.373054,24.3,91.0817638
"esp",1957,29596934,5691.510696,33.6,68.3
"bhs",1957,95604,13301.61626,,106.7
"dji",1957,73703,3508.001849,40.8,252.120359
"sen",1957,2930627,1974.53609,52.8,310.1
"fra",1957,44376073,10442.06765,50.2,34.8
"lie",1957,15429,,,
"niu",1957,4722,,,
"pse",1957,1018549,1307.119168,43.5,207.952567
"hun",1957,9914136,7795.403311,26.7,70.5
"ven",1957,7285974,14656.77261,43.3,91.6
"kgz",1957,1994697,2624.213476,36.3,154.9107629
"grc",1957,8097202,5655.701763,38,59.1
"grl",1957,27734,4901.001592,,
"twn",1957,10163000,2296.711847,,
"fin",1957,4320250,9301.676691,31.7,32.3
"yem_north",1957,4472071,,,
"gtm",1957,3811577,3283.708178,50.9,232.3
"aia",1957,5777,,,
"khm",1957,5307886,1362.869578,44.3,267.7056521
"ncl",1957,71364,,,
"vnm",1957,29844533,1119.449008,39.2,125.4544655
"scg",1957,7712919,,,
"kir",1957,38348,2158.498688,,218.862254
"chl",1957,7182786,6015.89597,54.2,182.5375175
"cod",1957,14161242,2177.293465,44.2,273.3163535
"qat",1957,39402,7887.907879,43.7,148.3471068
"ton",1957,57386,1491.732461,,108.1423824
"mnp",1957,8864,,,
"reu",1957,307978,,,
"ussr",1957,202635788,,,
"mng",1957,890279,1091.039797,44.5,239.5773068
"scg_ex_kos",1957,6142373,,,
"rwa",1957,2693819,603.7799606,49.9,237
"tkl",1957,1723,,,
"brb",1957,229214,4243.326545,,111.2
"afg",1957,8534913,1134.309649,34.4,380.4
"com",1957,179386,929.1825226,45,313.6198491
"mli",1957,5089507,731.753686,42.7,477.0092173
"mys",1957,7442649,2776.178872,44.4,110
"cog",1957,941590,2098.856812,38.7,201.4429809
"gmb",1957,330603,1118.949851,46,382.1
"and",1957,10781,12056.26815,,
"cck",1957,356,,,
"png",1957,1875027,1066.676979,47.7,219.4
"kwt",1957,208907,14325.4774,39.3,166.8617587
"jor",1957,739263,3899.893172,40.2,186.6
"mkd",1957,1432014,3315.147547,38.4,182.4040718
"zwe",1957,3410611,1940.763175,53,164
"sau",1957,3751876,5942.3148,42.4,251.8151209
"mwi",1957,3390798,418.2247846,45.7,366.6084244
"mar",1957,11210889,2067.136453,45.7,254.4
"ago",1957,4992439,3592.421859,49.9,360.4513361
"ssd",1957,2804604,2234.060515,39.62,367.6
"vut",1957,58246,1418.434756,,165.8
"cxr",1957,743,,,
"cmr",1957,5055386,1710.16646,43.4,310.6
"prt",1957,8770221,4927.714208,46.1,121.8
"tuv",1957,5758,1519.229405,,
"lbr",1957,1051225,1300.624643,44.3,314.1
"ita",1957,48868412,8815.67561,43.3,57.5
"fji",1957,356817,3251.756117,43.5,83.7
"mac",1957,173329,6086.34174,,
"prk",1957,10547389,1322.056349,46.9,180.2686689
"ecu",1957,4179314,4150.768462,39.5,195.8
"vir",1957,29650,,,
"hrv",1957,4098126,6325.102759,,99.13657481
"blz",1957,84503,1962.790392,,129.9656774
"yem",1957,4921929,1421.255851,44.2,447.6
"kaz",1957,8764961,7557.651199,37.1,137.6459254
"egy",1957,24959391,1779.597574,42.3,341.3
"irl",1957,2862366,7159.132926,49.8,39.7
"che",1957,5082993,25738.22358,38.3,29
"chn",1957,615992182,779.6865427,38.1,251.1379864
"yem_south",1957,1384630,,,
"cri",1957,1198946,3632.720596,49.7,118.713819
"lux",1957,308562,21515.69216,32.4,48.5642225
"syr",1957,4173185,2696.713817,42.7,212.7
"srb",1957,7376692,5711.706512,37,75.72111309
"nfk",1957,1724,,,
"abw",1957,48242,4631.936958,,
"gha",1957,6052159,1935.950028,41.2,220.9
"fro",1957,32715,,,
"eth",1957,20764427,622.1657739,44.6,311.6515755
"spm",1957,4803,,,
"ner",1957,3126010,1121.439333,35,323.8456722
"nga",1957,42656058,2975.35412,50.4,346.838217
"hos",1957,912,,,
"bhr",1957,145185,20938.30061,35,258.6
"are",1957,82870,1277.602535,45.1,223.1896329
"aut",1957,6981105,10578.19171,44.7,49.9
